node_1,node_2,edge
Protein fitness optimization,protein variants,aims to discover new
Protein fitness optimization,fitness landscape,navigates sparsely populated
Protein sequences,discrete nature,characterized by
Variational Latent Generative Protein Optimization (VLGPO),protein sequences,embeds in continuous latent space
VLGPO,flow matching prior,combines with
VLGPO,fitness predictor,combines with
flow matching prior,sequence mutations,learned over
fitness predictor,high fitness sequences,guides optimization towards
VLGPO,state-of-the-art results,achieves
VLGPO,protein benchmarks,tested on
variational design,explicit prior and likelihood functions,offers
variational design,plug-and-play framework,enables flexible
fitness,biological property,is a desired
fitness,stability,includes
fitness,binding affinity,includes
fitness,catalytic efficiency,includes
fitness landscape,combinatorial space,is a type of
fitness landscape,possible sequences,contains
sequence length,possible sequences,determines exponential growth of
protein fitness optimization,directed evolution,traditionally addressed by
directed evolution,natural evolution,mimics
directed evolution,random exploration,involves
in-silico methods,fitness landscape,explore
in-silico methods,promising candidates,prioritize
generative models,in-silico methods,are a type of
evolutionary greedy algorithms,in-silico methods,are a type of
gradient-based sampling strategies,in-silico methods,are a type of
Gibbs With Gradients (GWG),gradient-based sampling strategies,is a variant of
smoothed GWG variants,Gibbs With Gradients (GWG),are variants of
Gradients (GWG),smoothed GWG variants,variant of
fitness landscape,"high-dimensional, sparse and discrete nature",characterized by
fitness landscape,ruggedness,characterized by
fitness landscape,holes due to proteins with very low fitness,characterized by
ruggedness,epistasis,due to
computational methods,discretized processes,rely on
discretized processes,non-smooth gradients,cope with
discretized processes,vast diversity of possible sequences,cope with
this work,token-based sequence representation,alternative to
this work,continuous latent space,embeds sequences in
continuous latent space,latent distribution,learns
flow matching,prior distribution over latent protein sequences,constructs
flow matching,generative modeling scheme,is a
flow matching,gradient-based sampling and optimization,amenable to
prior distribution,variational framework,integrated into
