node_1,node_2,edge
Memory-Based Dual Gaussian Processes for Sequential Learning,Sequential learning,is a method for
Gaussian processes (GPs),Sequential learning,are used in
Sequential learning,continual learning,includes tasks such as
Sequential learning,active learning,includes tasks such as
Sequential learning,Bayesian optimization,includes tasks such as
Dual sparse variational GP,Memory-Based Dual Gaussian Processes for Sequential Learning,is the core method used in
Dual sparse variational GP,accurate inference,enables
Memory-Based Dual Gaussian Processes for Sequential Learning,memory of past data,builds and updates
Exact online inference in GPs,all past data,requires access to
Sparse GP methods,all past data,assume access to
Sequential decision-making,uncertainty estimates,requires
Gaussian process (GP) models,model-based reinforcement learning,are popular for
Gaussian process (GP) models,Bayesian optimization,are popular for
Gaussian Process (GP),Sparse GP methods,reduces computational cost of
Sparse variational GP (SVGP),stochastic training,requires multiple passes through data during
variational free energy (VFE),stochastic training,requires multiple passes through data during
Sparse GP methods,access to all past data,assumes
continual learning,limited access to past data,characterized by
active learning,limited access to past data,characterized by
errors,inaccurate posteriors,can arise from
errors,wrong hyperparameter values,can arise from
errors,poor sparse representations,can arise from
sequential learning method,accurate posterior,provides
sequential learning method,kernel hyperparameters,provides
sequential learning method,sparse representation,provides
memory of relevant past data,inducing inputs,added in addition to
expectation propagation (EP),inference,used for
projection method,sparsity,used for
Csató & Opper (2002),expectation propagation (EP),used
Bui et al. (2017),hyperparameters,estimated
Bui et al. (2017),expectation propagation (EP),found worse than variational inference
Maddox et al. (2021),Laplace approximation,used for non-Gaussian likelihoods
Maddox et al. (2021),sparse representation,obtained via gradient method and pivoted Cholesky
Kapoor et al. (2021),structured covariance,used during inference
dual-SVGP method,Adam et al. (2021),adapted from
dual-SVGP method,sequential learning,performs
memory set,performance improvement,added for
