node_1,node_2,edge
Autoformulation,Mathematical Optimization Models,creates
Autoformulation,Natural Language Problem Descriptions,uses as input
Autoformulation,Large Language Models (LLMs),leverages
Autoformulation,Monte-Carlo Tree Search,employs
Large Language Models (LLMs),Monte-Carlo Tree Search,combined with
Monte-Carlo Tree Search,Symbolic Pruning,enhanced by
Symbolic Pruning,Search Paths,eliminates trivially equivalent
LLM-based Evaluation,Partial Formulations,evaluates
LLM-based Evaluation,Search,guides
Autoformulation,Solver-Ready Optimization Models,produces
Mathematical Optimization,Decision-Making,fundamental to
Autoformulation,Hypothesis Space,explores
Hypothesis Space,Problem-Dependent,is
LLM-based value estimation,performance gains,contributes to
symbolic pruning techniques,performance gains,contributes to
mathematical optimization,decision-making processes,is a cornerstone of
mathematical optimization,supply chain management,applied in
mathematical optimization,healthcare resource allocation,applied in
mathematical optimization,portfolio optimization,applied in
optimization modeling,three-step process,follows
three-step process,gathering problem requirements,includes
three-step process,formulating into formal mathematical model,includes
three-step process,implementing the model computationally,includes
formulating optimization models,human expertise,relies on
optimization models,human expertise,relies on
human expertise,problem requirements,understands
problem requirements,mathematical programs,translated into
mathematical programs,optimal decision values,solves to find
autoformulation,formulation process,automates
autoformulation,time- and cost-efficiency,improves
autoformulation,modelers,assists
autoformulation,domain experts,makes optimization tools accessible to
modelers,rapid prototyping,benefits from
domain experts,deep optimization expertise,does not require
autoformulation,search for an optimal formulation,conceptualized as
search for an optimal formulation,hypothesis space,occurs within
hypothesis space,large and problem-dependent,is
hypothesis space,variable definitions,encompasses
hypothesis space,constraint structures,encompasses
hypothesis space,objective function forms,encompasses
navigating hypothesis space,exploitation and exploration,requires balancing
search process,uncertainty in correct formulations,faces
search process,redundancy in hypothesis space,faces
