node_1,node_2,edge
Non-linear mixed-effects models,heterogeneous populations,used for studying
Non-linear mixed-effects models,distribution over parameters,aims to find
distribution over parameters,population,describes
model,simulations for an individual,generates
fitting distributions to data,computationally challenging,is
neural density estimation,conditional normalizing flows,based on
neural density estimation,individual-specific posterior distributions,approximates
individual-specific posterior distributions,amortized fashion,inferred in
amortized approach,efficient inference of population parameters,allows for
proposed approach,cell biology and pharmacology,applied to problems from
proposed approach,unseen flexibility and scalability,demonstrates
heterogeneity within populations,"epidemiology, pharmacology, ecology, and economics",common phenomenon in
human immune system,individuals,exhibits substantial variability among
individual patients,treatments,respond differently to
genetically identical cells,cell-to-cell variability,develop pronounced
individual students,abilities,show a broad spectrum of
heterogeneity,non-linear mixed-effects (NLME) models,can be described and analyzed using
NLME models,fixed effects,account for similarities and differences using
NLME models,random effects,account for similarities and differences using
NLME models,covariates,account for similarities and differences using
NLME models,flexibility,allows for a high degree of
NLME models,interpretability,allows for a high degree of
NLME models,statistical analysis,widely used for
NLME models,hypothesis testing,widely used for
NLME models,predictions,widely used for
NLME models,unknown parameters,depend on
unknown parameters,reaction rates,such as
unknown parameters,initial concentrations,such as
parameter inference,unknown parameters,estimates
parameter inference,key insights,provides
likelihood formulation,individual level,at
likelihood formulation,closed-form solution,has no
marginalization,all individuals,performed for
new approach,invertible neural networks,based on
new approach,estimate parameters of NLME models,used to
simulation-based neural posterior estimation,general parameter estimation problems,addresses
conditional normalizing flow,latent distribution,maps from
conditional normalizing flow,individual-specific posteriors,maps to
individual-specific posteriors,observed individual-level data,conditioned on
neural posterior estimator,simulations of a generative model,trained using
trained estimator,similar data set,applied to
trained estimator,further simulations,without
