node_1,node_2,edge
transformer-based text detection techniques,polygon prediction,These techniques aim to predict polygons by encoding vertex coordinates.
memory overhead,transformer-based text detection techniques,The techniques suffer from significant memory overhead.
intricate relationships,vertices belonging to the same instance,They struggle to capture the complex relationships between vertices.
sparse r-cnn,innovative approach,Sparse R-CNN is presented as an innovative solution for polygon prediction.
cascade decoding pipeline,polygon prediction,This pipeline iteratively refines polygon predictions for precision.
instance-level feature proposal,memory efficiency,Using instance-level features improves memory efficiency by more than 50% compared to SOTA.
inference speed,dptext-detr,The proposed method reduces inference speed by over 40% compared to DPText-DETR.
text detection,extracting textual information from images,Automatic text detection is vital for extracting text from images in digital applications.
text detection,machine vision,Text detection is a component of machine vision applications.
autonomous driving,machine vision,Autonomous driving is one application that relies on machine vision technology.
slam,machine vision,Simultaneous Localization And Mapping (SLAM) also uses machine vision techniques.
visual place recognition,machine vision,Visual Place Recognition is another application involving machine vision.
assisted navigation,machine vision,Machine vision supports Assisted Navigation systems.
text orientation,text detection,Text orientation is a factor in the complexity of text detection tasks.
text curvature,text detection,Text curvature adds variability to the challenge of text detection methods.
perspective projection,box2poly,Perspective projection effects are addressed by Box2Poly transformation.
bounding boxes,text detection,Rotating and scaling bounding boxes is a method for text detection.
quadrilaterals,text detection,Quadrilaterals are used in some text detection approaches for arbitrary shapes.
rotation,curvature,both are configurations mentioned in the context
mask-based representations,contour-based methods,这两种方法在文本检测中都获得了突出的地位
baek et al.,2019,提到的文献作者和年份
wang et al.,2019,提到的文献作者和年份
xu et al.,2019,提到的文献作者和年份
long et al.,2018,提到的文献作者和年份
pixel level,instance level,描述了mask-based方法的预测层次
segmentation masks,instance segmentation,两者都与文本检测中的实例分割有关
roi (region of interest),instance segmentation,RoI提案用于生成实例分割掩模
contour-based methods,polygon proposals,轮廓基方法依赖于多边形提案的质量
dai et al.,2021a,提到的文献作者和年份
zhang et al.,2023,提到的文献作者和年份
gon proposals,acquisition process,GON proposals are acquired in the discussed approaches.
mask-based techniques,contour proposals,Mask-based techniques involve initializing contour proposals from binary segmentation masks.
binary segmentation masks,contour refinement,Masks are used for contour initialization
bounding boxes,initial estimation of contours,Some methods utilize bounding boxes to initially estimate contours.
shape disparity,box-to-polygon transformation,The shape disparity between boxes and polygons is a challenge in the transformation process.
point query embedding,memory efficiency,The memory efficiency of point query embedding is a concern mentioned in the text.
deepsolo,bézier curves,DeepSolo proposes using top-K Bézier curves for initializing the center polyline regression.
bézier curves,initial proposals,Bézier curves serve as initial proposals
scale priors,generating bézier curves,DeepSolo's approach neglects scale priors when generating Bézier curves across different scales.
b´ezier curves,feature map levels,B´ezier curves are generated across different feature map levels.
center polyline,coordinate decoding,The center polyline undergoes recursive refinement during coordinate decoding.
predictions,failure cases,Predictions can be more inclined to failure cases like self-intersection and misalignment.
polygon proposal,bounding box,Polygon proposals are generated from bounding boxes using B´ezier centerline.
b´ezier curve,intermediate representation,A B´ezier curve is generated and expanded to serve as an intermediate representation for a polyline.
polyline,orthogonal direction,The polyline is expanded in its orthogonal direction to create a polygon.
polygon scale,bounding box,The scale of the polygon is inherited from the bounding box.
b´ezier centerline,flexibility,The B´ezier centerline guarantees the flexibility of orientation and shape.
two-stage detr paradigm,top-k proposals,Two-stage DETR generates Top-K proposals on the transformer encoder's output.
sparse proposal initialization,memory footprint overhead,Sparse proposal initialization helps mitigate the memory footprint overhead
transformer encoder,proposal initialization,The transformer encoder's output is used for proposal initialization.
sparse proposal initialization,computational demands,Sparse proposal initialization helps alleviate computational demands.
learnable bounding boxes,polygon priors,Learnable bounding boxes serve as prior estimates for polygons.
instance-level feature embedding,instance proposal,Each instance proposal has an associated instance-level feature embedding.
testr,point-level feature embedding,TESTR uses point-level feature embedding for vertices.
dptext-detr,point-level feature embedding,DPText-DETR also employs point-level feature embedding for vertices.
iterative regression strategy,polygon coordinates,The iterative regression strategy ensures stable polygon coordinate regression.
refinement offset,scale- and translation-invariant,Our method's refinement offset is scale- and translation-invariant.
orientation discontinuity,predicted polygon,Orientation discontinuity occurs when the predicted polygon has a reversed orientation compared to ground truth.
gon,ground truth,gon has reversed orientation compared to ground truth
learning process,orientation correction,the learning process requires extra steps to correct orientation
sparse r-cnn,object detection,Sparse R-CNN is a method for accurate object detection
roialign,decoding layer,RoIAlign is used at each decoding layer for feature extraction
polyalign,polygon prediction,PolyAlign assists in the regression of polygons
text polygon prediction method,sota,aims to propose a method with performance comparable to state-of-the-art (SOTA)
smooth transformation,box to polygon,designs a smooth transformation from box annotations to polygons
roialign-like operation,precise roi features,introduces a RoIAlign-like operation to extract precise features for polygon regression
training process,polygon proposals refinement,stabilizes training by recursively refining polygon proposals
iterative regression technique,bounding box object detection,iterative regression is prominent in bounding box object detection methods
cascade r-cnn,faster r-cnn,Cascade R-CNN is an extension of Faster R-CNN architecture
faster r-cnn,multi-stage detection sub-networks,Faster R-CNN introduces multi-stage detection sub-networks for regression task refinement.
regression task,cascade layers,The regression task is broken down into cascade layers in Faster R-CNN's architecture.
detr,object query,DETR uses the term 'object query'.
sparse rcnn,proposal feature,In Sparse RCNN
polygon vertex,point query,Polygon vertices are embedded into point queries with sine positional encoding.
dptext-detr,iterative refinement,DPText-DETR improves the TESTR framework with iterative refinement of polygon vertices.
dptext-detr,deformable cross-attention,DPText-DETR employs deformable cross-attention using vertex coordinates as reference points.
dptext-detr,testr,Both DPText-DETR and TESTR face the challenge of a substantial memory footprint.
memory footprint,coordinate information,The large memory footprint is due to encoding coordinate information for each polygon vertex.
box2poly network,sparse r-cnn,Box2poly Network is built upon Sparse R-CNN.
image,fpn backbone,An image with text instance is fed into an FPN backbone for feature extraction.
decoding part,feature proposal,The decoding part uses the extracted features for detection
bounding boxes,region proposals,A fixed
box proposals,polygon prediction,Box proposals serve as priors for the subsequent polygon prediction process.
box to poly layer,transition from box prediction,A transitional layer called Box to Poly is used to shift from box predictions to polygon representation.
polyalign,roi features,PolyAlign is employed to extract precise RoI features for polygon regression.
orientation-equivalent annotation,text polygon,Orientation-equivalent annotation helps eliminate learning discontinuity for predicted polygons.
learnable bounding boxes,location and scale estimation,Learnable bounding boxes are used to estimate the location and scale of text instances.
text instances,polygon regression,related in the process of text instance detection and scale refinement
sparse rcnn,bounding boxes,uses learnable bounding boxes initialized with image size for refinement
roialign,roi feature extraction,used to extract features within a box proposal's scope
dynamic instance interaction,proposal feature,merges extracted RoI feature with proposal feature for update
updated proposal feature,coordinate offset ∆box,predicts ∆box based on updated feature for refining bounding box proposal
detr methods,iterative bounding refinement,employ a similar strategy for gradual localization accuracy enhancement
deformable detr,dab detr,both methods embrace iterative bounding refinement
sparse r-cnn,fast r-cnn paradigm,introduces an innovative paradigm by avoiding the computationally intensive proposal generator of Fast R-CNN
fast r-cnn paradigm,proposal generator,The Fast R-CNN paradigm includes a computationally intensive proposal generator.
learnable bounding boxes,cascade r-cnn,The method updates learnable bounding boxes using a technique similar to Cascade R-CNN.
approach,remarkable performance,The streamlined pipeline of the approach results in remarkable performance and training efficiency.
text detection with contour iterative regression,iterative regression,Iterative regression is used for predicting contour boundaries in text instance detection.
textbpn++,zhang et al. (2023),TextBPN++ is an example introduced by Zhang et al. in 2023.
boundary transformer,recursive optimization,A boundary transformer facilitates recursive optimization in TextBPN++.
detr methods,testr,TESTR is a method based on DETR methods.
testr,deformable detr,TESTR harnesses bounding boxes from Deformable DETR's transformer encoder.
bounding box prior,polygon representation,A bounding box prior is transformed into a polygon representation.
b´ezier curve,intermediate representation,B´ezier curve serves as an intermediate representation in the transformation from box to polygon.
polygon regression,bounding box prior,polygon regression uses bounding box prior for conversion
bounding box prior,bézier curve,Bézier curve is used as an intermediary for bounding box to polygon conversion
bézier curve,control points,Bézier curve has four control points defined relative to the reference box
reference bounding box,(xc,yc
control points,relative offsets,Control points are calculated using relative offsets from the box center
bézier curve,polyline,Points sampled from the Bézier curve form a polyline fitting the text center-line
polyline,boundary,Polyline is complemented with a width to create a boundary around a text instance
additional value,δwp,An additional value
text instance,boundary,The scalar width is used to form a boundary around a text instance.
δwp,scaling factor,δwp describes the scaling factor between the bounding box size and the initial width of the text polygon.
bounding box size,text polygon's width,The relationship between the bounding box size and the text polygon's width is described by δwp.
polyline,polygon vertices,Polygon vertices are expanded from the polyline using a buffering technique.
fbuf f er,expansion,fbuf f er is used to expand the polyline with a certain distance to create polygon vertices.
n × s × 4,polygon proposals,A set of N × S × 4 polygon proposals are generated from the last step after transforming proposal boxes.
iterative regression,m layers,Polygon coordinates undergo updates across M layers of iterative regression.
proposal pm−1,preceding layer,Proposal Pm−1 comes from the preceding layer and is transformed for further regression.
center point coordinates,coordinate differences,Transformation converts representation to center point coordinates and differences between top and bottom vertices.
polygon regression head,scale- and location-invariant distance,The polygon regression head yields an output in the form of a scale- and location-invariant distance for stability.
polygon regression head,regression process,The polygon regression head is part of the active regression process.
scale- and location-invariant distance vector,polygon regression head,The head yields a distance vector denoted ∆poly.
decoder,polygon refinement,The decoder refines the polygon based on the output from the previous stage.
gradients,distance vector ∆poly,Gradients are back-propagated through the distance vector for stable training.
(ps,x,ps
polygon alignment,regression layers,The updated polygon maintains coherent alignment across different regression layers.
polyalign,region of interest (roi) features,PolyAlign is introduced to enhance RoI features for polygon proposals.
polyalign,conventional bounding box roialign,PolyAlign differs from the standard RoIAlign method by operating on polygon vertices.
polygon roi features,multi-layered feature maps,Polygon RoI features are aggregated from multi-layered feature maps.
aggregation,sum,Aggregation of Poly RoI features is done using the sum of their coordinates.
roi feature extraction,point-level coordinate regression,Point-level coordinate regression is sensitive to deviations in the foothold of RoI feature extraction.
polygon roi,spatial dimensions,Polygon RoI features have spatial dimensions of S × 3 × 256
orientation,polygon representation,The polygon representation inherently carries the attribute of orientation.
orientation reversal,ground truth,Orientation reversal is an issue when the polygon's initial orientation differs from the ground truth.
ground truth,orientation-reversed version,To remedy orientation issues
ground truth,orientation-reversed version,The ground truth is augmented with its orientation-reversed version for training.
candidate polygon,training,During training
reversed (cid:1)(cid:3).i,orientation,The reversed (cid:1)(cid:3).i indicates a change in orientation for a polygon.
bipartite matching,set prediction,Bipartite Matching is used for assigning predictions
prediction set,ground truth set,The matching cost involves a comparison between the prediction set and padded ground truth set.
π(i),permutation,π(i) represents a permutation of N elements in the matching process.
class prediction,distance between coordinates,The matching cost consists of correctness of class prediction and the distance between coordinates.
l1 distance,coordinate matching,L1 distance calculates the coordinate matching cost for polygon vertices.
pπ(i),¯pi,¯p r
lfocal,class matching cost,Lfocal evaluates the class matching cost using a focal loss function.
lpoly,local,Lpoly is an alternative to Local in evaluating class matching cost.
pπ(i),¯p e,Pπ(i) and ¯P E are used together in the calculation of class matching cost.
training loss,matching cost,Training loss is similar to matching cost
ground truth,polygon coordinates,Ground truth for polygon coordinates inherits orientation from matching cost calculation.
