node_1,node_2,edge
FSFC,Feature Selection for Functional Classification,is an acronym for
FSFC,feature selection,performs
FSFC,classification of functional data,performs
FSFC,optimization problem,defines a new
optimization problem,logistic loss,integrates
optimization problem,functional features,integrates
FSFC,functional principal components,employs
FSFC,adaptive Dual Augmented Lagrangian algorithm,develops a new version of
FSFC,computational efficiency,enables
FSFC,high-dimensional scenarios,handles
FSFC,other machine learning and deep learning methods,outperforms in computational time and classification accuracy
FSFC,dimensionality reduction,can significantly reduce
FSFC,other classification algorithms,enhances performance of
FSFC,classification algorithms,is compared with
FSFC,chronic diseases,analyzes relationships between
FSFC,health and demographic factors,analyzes relationships between
FSFC,source code,is publicly available at
Functional Data Analysis (FDA),statistics and Machine Learning (ML),is an active domain within
Functional Data Analysis (FDA),multivariate longitudinal measurements,works with
Functional Data Analysis (FDA),smooth curves,estimates
Functional Data Analysis (FDA),time-dependent variables,integrates and interprets
FDA,brain sensors,has applications in
FDA,DNA sequencers,has applications in
FDA,wearable devices,has applications in
FDA,high dimensionality,has issue of
FDA,data scarcity,has issue of
high dimensionality,overfitting,leads to
data scarcity,sub-optimal efficiency,leads to
ML and Deep Learning (DL) models,overfitting,may suffer from
feature selection models,sub-optimal efficiency,may suffer from
new algorithms,reduce problem dimensionality,required to
new algorithms,deal with data scarcity,required to
new algorithms,preserve computational efficiency,required to
Feature Selection for Functional Classification (FSFC),feature selection,performs
Feature Selection for Functional Classification (FSFC),classification,performs
Feature Selection for Functional Classification (FSFC),multivariate longitudinal data,applies to
Feature Selection for Functional Classification (FSFC),reduce problem dimensionality,effectively
Feature Selection for Functional Classification (FSFC),high-dimensional scenarios,suitable for
