node_1,node_2,edge
Direct Motion Models,Assessing Generated Videos,used for
Video generative models,plausible looking frames,generates
Video generative models,poor motion,has limitation of
FVD,evaluating generated videos,method for
Direct Motion Models,FVD,goes beyond
Direct Motion Models,metric,develops
metric,plausible object interactions and motion,measures
Direct Motion Models,auto-encoding point tracks,based on
auto-encoding point tracks,motion features,yields
motion features,comparing distributions of videos,used for
motion features,evaluating motion of single videos,used for
point tracks,pixel reconstruction,alternative to
point tracks,action recognition features,alternative to
point tracks,temporal distortions in synthetic data,more sensitive to
Direct Motion Models,temporal consistency human evaluations,predicts better than alternatives
Direct Motion Models,realism in generated videos,predicts better than alternatives
point track representation,spatiotemporally localize generative video inconsistencies,enables
point track representation,extra interpretability of generated video errors,provides
generative video models,evaluating video quality,require methods for
state-of-the-art models,plausible looking frames,generate
state-of-the-art models,coherent motion,struggle to generate
human judgments,assessing video quality,gold standard for
human judgments,expensive to obtain,are
human judgments,not scalable,are
track-based latent motion features,measuring video quality,used for
distributional metrics,per-video or video-video metrics,moving from
TRAJAN architecture,initial prototype,invented
TRAJAN architecture,further developed,was
WALT checkpoints,TRAJAN architecture,supplied for
generated video errors,interpretability,provides extra
video quality,human judgments,is evaluated by collecting
human judgments,scalable metric,are not
Fréchet Video Distance (FVD),plausibility,captures certain elements of
Fréchet Video Distance (FVD),frame-level content effects,is sensitive to
Fréchet Video Distance (FVD),training distribution,depends on access to
generated videos,entire distributions,evaluated by comparing
proposed method,2D video motion,models
generated video,point tracks,estimates low-level motion features as
point tracks,BootsTAPIR model,generated by
point tracks,dense high-level motion features,encoded to obtain
TRAJectory Autoencoder (TRAJAN),dense high-level motion features,encodes
TRAJAN latent space,distributions of videos,compares
TRAJAN reconstruction error,per-video motion inconsistencies,estimates
point tracking,semantics,separates from motion
