node_1,node_2,edge
Multi-task Learning (MTL),gradient aggregation,involves computing and aggregating gradients of each task
gradient aggregation,Bayesian inference,uses Bayesian inference to quantify uncertainty in gradient dimensions
Bayesian inference,probability distribution,places a probability distribution over task-specific parameters
probability distribution,gradients of the tasks,induces a distribution over the gradients
gradients of the tasks,uncertainty,quantifies uncertainty associated with each gradient dimension
uncertainty,gradient aggregation,factored in when aggregating gradients
Multi-task Learning (MTL),single model,learns a single model that solves several tasks simultaneously
machine learning inference tasks,autonomous vehicle,requires simultaneous execution of
autonomous vehicle,object detection,performs
autonomous vehicle,lane detection,performs
autonomous vehicle,tracking movements of other vehicles,performs
autonomous vehicle,predicting free space,performs
Multi-Task Learning (MTL),single neural network (NN),trains to solve multiple tasks
Multi-Task Learning (MTL),dedicated model per task,avoids need for
Multi-Task Learning (MTL),computational demand at test time,reduces
Multi-Task Learning (MTL),generalization,improves potential of
Multi-Task Learning (MTL),vision,applied in
Multi-Task Learning (MTL),natural language processing,applied in
Multi-Task Learning (MTL),speech,applied in
Multi-Task Learning (MTL),robotics,applied in
Multi-Task Learning (MTL),general scientific problems,applied in
optimizing multiple tasks simultaneously,degradation,may lead to
Multi-Task Learning (MTL),optimization algorithms,follows a basic formula of calculating and aggregating gradients
gradient,task loss,calculated from
gradient aggregation,gradient conflicts,reduces conflicts before averaging
gradient aggregation,convex combination with minimal norm,finds
gradient aggregation,game theoretical approach,uses
gradient,sensitivity in each dimension,misses when relying only on gradient
parameter configurations,task,many good configurations exist for each
standard MTL optimization methods,single value,takes into account
probability distribution,task-specific parameters,placed over
probability distribution over task-specific parameters,probability distribution over gradient space,induces
