node_1,node_2,edge
Bipartite Matching,Massive Graphs,is studied in the context of
Maximum Matching,combinatorial optimization,is a fundamental problem in
Maximum Matching,balanced clustering,has applications in
Maximum Matching,data mining,has applications in
Maximum Matching,resource allocation,has applications in
Maximum Matching,online advertisement,has applications in
Graph Sparsification,massive graphs,is a tool for handling
Edge-Degree Constrained Subgraph (EDCS),Bernstein & Stein 2015,was introduced by
Edge-Degree Constrained Subgraph (EDCS),matching problem,is a sparsifier for
EDCS,parameter β,has a density control parameter
EDCS,approximation ratio,has an
approximation ratio,2/3,approaches
β,sparsity parameter,is a
Amir Azarmehr,EDCS,analyzes
Soheil Behnezhad,EDCS,analyzes
Mohammad Roghani,EDCS,analyzes
EDCS,approximation ratio,has
EDCS,sparsity parameter β,depends on
β,approximation ratio,influences
β = 6,approximation ratio .677,achieves
EDCS,maximum matching,used for
maximum matching,combinatorial optimization,is a problem in
matching,graph,defined in
matching,edges,consists of
maximum matching,data mining,applied in
maximum matching,resource allocation,applied in
maximum matching,online advertisement,applied in
maximum matching,bioinformatics,applied in
maximum matching,data clustering,improves quality of
maximum matching,fair k-center clustering,produces
data clustering,quality improvement,can improve
fair k-center clustering,data clustering,can produce
subgraph discovery,bioinformatics applications,used for
input graph,massive size,is
massive graphs,single machine memory,cannot be stored in
large-scale algorithms,massive graphs,motivated by
Graph Sparsification,massive graphs,tool to process
graph sparsifier,n-vertex graph,receives
graph sparsifier,sparse subgraph,sparsifies into
sparse subgraph,graph property,preserves
Cut sparsifiers,graph sparsifiers,example of
spectral sparsifiers,graph sparsifiers,example of
spanners,graph sparsifiers,example of
edge-degree constrained subgraph (EDCS),graph sparsifiers,introduced for matchings
EDCS,large-scale settings,applied to
