node_1,node_2,edge
Gridded Transformer Neural Processes,Spatio-Temporal Data,models
Neural Processes,Transformer Neural Processes,type of
Transformer Neural Processes,Gridded Transformer Neural Processes,extended by
Gridded Transformer Neural Processes,gridded pseudo-token TNPs,also known as
gridded pseudo-token TNPs,specialised encoders and decoders,employs
gridded pseudo-token TNPs,gridded pseudo-tokens,utilises
gridded pseudo-token TNPs,efficient attention mechanisms,utilises
Gridded Transformer Neural Processes,equivariant gridded TNPs,developed into
equivariant gridded TNPs,translation equivariance,provides
translation equivariance,inductive bias,is a useful
Gridded Transformer Neural Processes,weather data,applied to
gridded TNPs,competitive computational efficiency,characterized by
gridded TNPs,weather data,tested on
weather data,spatio-temporal modelling,used in
spatio-temporal modelling,machine learning community,interest from
data,heterogeneous,is
data,irregular in space and time,is
data,multi-modal,is
medium-range weather and environmental forecasting,spatio-temporal modelling,benefits from
new generation of models,medium-range weather and environmental forecasting,improves performance in
new generation of models,computational costs,reduces
environmental variables,new generation of models,operate on
environmental variables,Vision Transformer (ViT),operate on
environmental variables,Swin Transformer,operate on
environmental variables,Perceiver,operate on
models,computationally intensive scientific simulation and analysis techniques,trained and deployed on data from
computationally intensive scientific simulation and analysis techniques,observational data,integrate
computationally intensive scientific simulation and analysis techniques,simulation data,integrate
observational data,weather stations,sourced from
observational data,ships,sourced from
observational data,buoys,sourced from
second generation models,unstructured observational data,will integrate
second generation models,analysis data,may replace
second generation models,accuracy,improving
second generation models,computational costs,reducing
models,observational measurements,currently not trained on
spatio-temporal domains,findings,transferable to
