node_1,node_2,edge
Stochastic Gradient Descent (SGD),finite-sum minimization,solves
Random Reshuffling,SGD,variant of
Random Reshuffling,lower bounds,has tighter κ dependencies in
weighted average iterates,SGD,analyzed for
condition number κ,lower bounds,affects tightness of
permutation-based SGD,SGD,variant of
GraB algorithm,permutation-based SGD,recently proposed variant of
lower bounds,upper bounds,gap closed by
without-replacement SGD,SGD,type of
smooth strongly-convex functions,finite-sum minimization,assumed for
SGD,Robbins & Monro (1951),first proposed by
SGD,finite-sum optimization problems,solves
SGD,gradient-based update equation,uses
SGD,step size parameter ηt,includes
SGD,with-replacement sampling,can use
with-replacement sampling,uniform random distribution,samples from
SGD,vanilla gradient descent (GD),unbiased noisy estimate of
without-replacement SGD,SGD,variant of
without-replacement SGD,epoch,runs over shuffled set per
without-replacement SGD,faster convergence rates,empirically observed to have
without-replacement SGD,theoretical analysis,lacks theoretical analysis due to lack of independence between iterates
without-replacement SGD,Random Reshuffling,Random Reshuffling is a popular method of without-replacement sampling
Random Reshuffling,SGD-RR,Random Reshuffling is also referred to as SGD-RR
Random Reshuffling,convergence rates,some studies show upper bounds of convergence rates for certain functions
without-replacement SGD,with-replacement counterpart,without-replacement SGD can converge provably faster than with-replacement SGD
permutation-based SGD,Random Reshuffling,permutation-based SGD covers all cases including random reshuffling
permutation-based SGD,policy,permutation is chosen according to a certain policy
permutation-based SGD,GraB,GraB is a permutation-based SGD algorithm
