node_1,node_2,edge
zero-shot learning (ZSL),generative methods,uses
generative methods,semantic prototypes,synthesize features based on
semantic prototypes,real semantic prototypes,mismatches with
mismatch phenomenon,visual-semantic domain shift problem,formulated as
dynamic semantic prototype evolving (DSP),semantic prototypes,aligns
dynamic semantic prototype evolving (DSP),real prototypes,aligns with
dynamic semantic prototype evolving (DSP),sample features,refines
synthesized visual sample features,real sample features,approaches after alignment
dynamic semantic prototype evolving (DSP),generative ZSL methods,improves
DSP,generative ZSL methods,"improves performance by 8.5%, 8.0%, and 9.7% on CUB, SUN, AWA2 datasets"
evolving semantic prototype,zero-shot learning,explores a virgin field in
zero-shot learning,unseen classes,recognizes
unseen classes,semantic knowledge,learned by
semantic knowledge,seen classes,transferred from
generative zero-shot learning methods,image sample features,synthesize
image sample features,unseen classes,related to
generative zero-shot learning methods,class semantic prototypes,based on
class semantic prototypes,semantic embedding,also referred to as
class semantic prototypes,semantic condition,also referred to as
CNN features,unseen samples,utilized to synthesize
synthesized sample features,classifier training process,benefit
synthesized sample features,ZSL performance,improve
generative ZSL,unseen class features,synthesizes
unseen class features,class semantic prototype,conditioned on
class semantic prototype,real semantic prototype,does not accurately represent
semantic prototype,image samples,does not properly represent due to color variations or partial occlusions
semantic prototype,sample features,differ from real prototype and real sample features
feature discrepancy,classifier training,limits
feature discrepancy,generative ZSL performance,limits
Visual-Semantic domain shift,feature discrepancy,formulates
mitigating domain shift,updating the semantic prototype,starts by
updating the semantic prototype,real semantic prototype,approaches
