node_1,node_2,edge
Dataset Distillation (DD),3D data,tailored for
Dataset Distillation (DD),point clouds,particularly applied to
Dataset Distillation (DD),large-scale real datasets,substitutes
Dataset Distillation (DD),synthetic samples,produces
Dataset Distillation (DD),model performance,preserves
Existing DD methods,structured data,focus on
Existing DD methods,images,example of structured data
Adapting DD for point clouds,challenges,poses
Challenges,diverse orientations,due to
Challenges,resolutions in 3D space,due to
Matching rotation-invariant features,real and synthetic data,important for 3D distillation
Point cloud rotator,canonical orientation,aligns point cloud to
Point cloud rotator,learning of rotation-invariant features,facilitates
Point-wise generator,point clouds at various resolutions,produces
Point-wise generator,sampled noise amount,based on
DD3D,conventional DD methods,compared to
DD3D,low-resolution point clouds,enables efficient training on
DD3D,high-resolution data,generates for evaluation
DD3D,memory requirements,reduces
DD3D,model scalability,enhances
DD3D,shape classification,validated in
DD3D,part segmentation,validated in
DD3D,cross-architecture scenarios,validated across
DD3D,shape classification,validated in
DD3D,part segmentation,validated in
DD3D,cross-architecture settings,validated across
DD3D,cross-resolution settings,validated across
Dataset distillation (DD),large-scale dataset,distills knowledge from
Dataset distillation (DD),synthetic samples,produces
Dataset distillation (DD),computational cost,reduces
Dataset distillation (DD),image,applied to
Dataset distillation (DD),video,applied to
Dataset distillation (DD),graph,applied to
existing DD methods,structured 1D and 2D data,applied to
distillation of unstructured 3D data,point cloud,example of
point cloud data,machine vision,exists in
MVPNet,point clouds,scans
Objaverse-XL,3D assets,provides
real-world videos,Objaverse-XL,provides more than 10M high-quality 3D assets compared to
Objaverse-XL,3D assets,provides
training on datasets from scratch,efficient alternatives,highlights the need for
DD,3D point clouds,extending to presents unique challenges
point clouds with different orientations,same semantic information,represent
existing DD methods,symmetry of data,do not take into account
existing DD methods,randomly rotated data,cannot handle
point clouds,flexible resolutions,have
larger resolution,more fine-grain information,encodes
larger resolution,computational costs,increases
existing DD methods,fixed-size tensor,initialize synthetic data as
fixed-size tensor,different point cloud models,cannot be customized for
memory budget for fixed-size tensors,dense-resolution scenes,increases rapidly when dealing with
weaknesses of existing methods,distillation framework,motivates building a
distillation framework,orientation and resolution issues of 3D point clouds,overcomes
