node_1,node_2,edge
Change points,High-dimensional linear regression,localized in
Approximate Message Passing (AMP) algorithm,Change points,estimates
Approximate Message Passing (AMP) algorithm,Signals,estimates
Approximate Message Passing (AMP) algorithm,Change point locations,estimates
Gaussian covariates,Approximate Message Passing (AMP) algorithm,assumed by
Estimation performance,Approximate Message Passing (AMP) algorithm,characterized for
Prior information,Approximate Message Passing (AMP) algorithm,exploited by
Uncertainty quantification,Approximate Message Passing (AMP) algorithm,enabled by
Approximate posterior distribution,Approximate Message Passing (AMP) algorithm,produced by
Heterogeneity,High-dimensional datasets,common feature of
Change points,Data generating mechanism,indicate change in
change point models,standard statistical techniques,amenable to analysis via
change point models,signal means,detection of changes in
change point models,covariance structures,detection of changes in
change point models,graphs,detection of changes in
change point models,dynamic networks,detection of changes in
change point models,functionals,detection of changes in
change point models,genomics,application in
change point models,neuroscience,application in
change point models,economics,application in
high-dimensional linear regression,change points,considered with
regression vector,change points,changes at
change points,sample indices,denoted by
change points,regression vector,indicates where regression vector changes
L*,number of distinct signals,is
L* - 1,number of change points,is
upper bound L,L*,bounds
goal,change point locations,estimates
goal,L* signals,estimates
uncertainty,estimates,quantified via
uncertainty,confidence sets,quantified via
uncertainty,posterior distribution,quantified via
linear regression with change points,high-dimensional regime,studied in
high-dimensional regime,dimension p,where p is comparable to or exceeds n
signals,sparse,assumed to be
LASSO estimator,partitioning technique,combined with
partitioning technique,dynamic programming,e.g.
Gao & Wang (2022),sparsity on difference between signals,assumes
Cho et al. (2024),general non-sparse signals,considers
