node_1,node_2,edge
bias mitigation methods,subgroup definition,depends on
subgroup definition,bias mitigation performance,significantly impacts
coarse subgroups,bias mitigation,used in
fine-grained subgroups,bias mitigation,used in
intersectional subgroups,bias mitigation,used in
noisy subgroups,bias mitigation,used in
subgroup choice,bias mitigation outcomes,significantly impacts
certain subgroup groupings,no mitigation,leads to worse outcomes than
disparity between subgroups,using those subgroups for mitigation,is not a sufficient reason for
improving fairness,particular set of subgroups,best achieved by using a different set of subgroups for mitigation
careful subgroup definition,bias mitigation,is important for
subgroup definition,bias mitigation,is important for
bias mitigation,robustness,improves
bias mitigation,fairness,improves
machine learning models,performance degradation,suffer from
performance degradation,population subgroups,occurs for
performance degradation,bias in training data,caused by
bias in training data,spurious correlations,includes
bias in training data,under-representation,includes
bias in training data,shifts in presentation of target Y,includes
bias mitigation methods,robust models,aim to train
bias mitigation methods,disadvantaged subgroups,improve performance of
bias mitigation methods,inconsistent performance,show
bias mitigation methods,empirical risk minimization,often fail to surpass
bias mitigation methods,empirical risk minimisation (ERM) baseline,often fail to surpass
bias mitigation methods,new settings,performance is inconsistent when tested in
Jones et al. (2025),fair representation learning,work in
Schrouff et al. (2024),data balancing,work in
choice of an appropriate mitigation method,problem,is only one aspect of
select which subgroups,bias mitigation methods,must be chosen to apply
most bias mitigation methods,grouping,rely on
grouping,disadvantaged subgroups,identifies
disadvantaged subgroups,training data,within
group-based strategies,generalisation or fairness,aimed at improving
observing a disparity in model performance,men and women,between
rebalancing the training data,subgroups,makes more uniformly distributed
model performs poorly,data from a specific type of scanner,on
robust learning strategy,adversarial training,such as
adversarial training,learning of scanner-specific but task-irrelevant information,prevents
