node_1,node_2,edge
Deep Concept Reasoner (DCR),interpretable concept-based model,is a type of
Deep Concept Reasoner (DCR),concept embeddings,builds upon
Deep Concept Reasoner (DCR),syntactic rule structures,builds using concept embeddings
syntactic rule structures,concept truth degrees,executed on to provide predictions
Deep Concept Reasoner (DCR),interpretable and semantically-consistent prediction,provides
concept-based models,human-understandable concepts,learn tasks based on
state-of-the-art concept-based models,high-dimensional concept embedding representations,rely on
high-dimensional concept embedding representations,clear semantic meaning,lack
Deep Concept Reasoner (DCR),counterfactual examples,facilitates generation of
deep learning models,opaque decision process,characterized by
opaque decision process,human trust,fails to inspire
interpretability,responsible AI,core research topic in
concept-based models,human trust,aim to increase
concept-based models,human-understandable concepts,use
human-understandable concepts,interpretable models,used to train
interpretable models,logistic regression,such as
interpretable models,decision trees,such as
concept-based models,human trust,significantly increases
AI predictor,human trust,increases
concept-based models,concept embeddings,rely on
concept embeddings,interpretability,lack
interpretability,human trust,increases
model capacity,interpretability,sacrifices
Deep Concept Reasoner (DCR),interpretable concept-based model,is a
Deep Concept Reasoner (DCR),concept embeddings,builds on
Deep Concept Reasoner (DCR),fuzzy rules,builds
fuzzy rules,concept truth degrees,executed on
Deep Concept Reasoner (DCR),task accuracy,attains better
Deep Concept Reasoner (DCR),meaningful logic rules,discovers
Deep Concept Reasoner (DCR),counterfactual examples,facilitates generation of
