node_1,node_2,edge
Constrained Phi-Equilibria,normal-form games,is a notion defined in
Constrained Phi-Equilibria,constrained correlated equilibria (CE),is a more general notion than
Constrained Phi-Equilibria,computational intractability,is characterized by
Constrained Phi-Equilibria,non-convex set,may have
Constrained Phi-Equilibria,polynomial-time algorithm,can be computed by
polynomial-time algorithm,constrained (approximate) Phi-equilibrium,computes
constrained (approximate) Phi-equilibrium,linear function,maximizes
players' constraints,other players' strategies,may depend on
special case,players' constraints,does not depend on other players' strategies
special case,"exact, function-maximizing equilibrium",allows computation of
special case,efficient algorithm,allows finding one (approximate) equilibrium with
exact equilibrium,polynomial time,can be computed in
approximate equilibrium,decentralized no-regret learning algorithm,can be found with
equilibrium computation problems,AI and ML research,received attention from
game-theoretical equilibrium notions,multi-player decision-making,provide framework for
Nash equilibrium,classical solution concepts,is a
correlated equilibrium,classical solution concepts,is a
constraints,real-world applications,present in
constraints,strategies,rule out feasibility of
equilibrium notions involving constraints,operationalization of game-theoretic concepts,is crucial for
Generalized NE (GNE),Nash Equilibrium (NE),is a generalization of
Generalized NE (GNE),constraints,involves
Generalized NE (GNE),PPAD-hard,is computationally
Nash Equilibrium (NE),computational challenges,inherits to GNE
Correlated Equilibrium (CE),Nash Equilibrium (NE),is a weaker notion than
Correlated Equilibrium (CE),efficiently computable,is
Correlated Equilibrium (CE),constrained settings,computational properties under investigation in
Arrow & Debreu (1954),Generalized NE (GNE),initiated the study of
Daskalakis et al. (2009),Generalized NE (GNE),proved PPAD-hardness of computing
Facchinei & Kanzow (2010),Generalized NE (GNE),provided efficient algorithms for specific settings
Papadimitriou & Roughgarden (2008),Correlated Equilibrium (CE),showed efficient computability in several settings
Celli et al. (2020),Correlated Equilibrium (CE),further studied efficient computability
Chen et al. (2022),Correlated Equilibrium (CE),considered computing in constrained settings
