node_1,node_2,edge
Sketched Ridgeless Linear Regression,Downsampling,investigates the role of
Overparametrization,generalization performance,often helps improve
Downsampling,generalization,may help improve
sketched ridgeless least square estimator,out-of-sample prediction risks,investigates
sketching size,sample size,proportional regime m ≍ n ≍ p
sketching size,feature dimensionality,proportional regime m ≍ n ≍ p
Downsampling,generalization,does not always harm
optimal sketching size,out-of-sample prediction risks,minimizes
optimally sketched estimator,full-sample estimator,exhibits stabler risk curves
empirical procedure,optimal sketching size,determines
analysis,central limit theorems,extends to cover
analysis,misspecified models,extends to cover
cloud,data centers,residing in
massive datasets,operations and analytics,hold potential to revolutionize
massive datasets,computational challenges,presents
traditional statistical methods,large datasets,struggle to scale effectively on
sketch-and-solve methods,sketching algorithms,also referred to as
sketching algorithms,large datasets,provide approximate computations over
sketching algorithms,sketch,construct
sketch,full dataset,small surrogate of
sketch,analyses,used as surrogate to perform
this paper,linear regression problem,focuses on
linear regression,ridgeless least square estimator,focuses on
ridgeless least square estimator,ordinary least square (OLS) estimator,reduces to when rank(X) = p
ordinary least square (OLS) estimator,QR decomposition,computed via
QR decomposition,computational complexity,has
computational complexity,O(np^2),equals
data points,independent and identically distributed (i.i.d.),are
label,yi,denoted as
regression coefficient vector,β,denoted as
feature vector,xi,denoted as
random noise term,εi,denoted as
probability distribution,Px,denoted as
probability distribution,Pε,denoted as
covariance,Σ,denoted as
variance,σ^2,denoted as
Moore-Penrose pseudoinverse,ridgeless least square estimator,used in
identity matrix,Ip,denoted as
