node_1,node_2,edge
Second-order optimization,Neural networks,applied to
Second-order optimization,Local curvature,leverages
Local curvature,Loss function,of
Second-order optimization,Training acceleration,has potential for
Curvature matrices,Computational burden,causes
Curvature matrices,O(p^2) elements,has
Global curvature,Intrinsic symmetries,predicted by
Intrinsic symmetries,Neural networks,of
Parameter permutations,Intrinsic symmetries,example of
Multi-Layer Perceptrons (MLPs),Global curvature,reveals structure of
Global curvature,O(d^2 + L^2) independent factors,expressed in terms of
d,Input/output dimensions,represents number of
L,Number of layers,represents
O(d^2 + L^2) independent factors,O(p^2) elements,reduces computational burden compared to
Second-order optimization,Synthetic data,applied to
Second-order optimization,Traditional optimization methods,achieves faster convergence than
Loss landscape,Neural networks,of
Global curvature theory,Loss landscape understanding,paves way for
neural networks,adaptive variants of gradient descent and momentum,commonly trained using
second-order optimization methods,curvature of the loss function,exploit
second-order optimization methods,first-order approaches,compared to
second-order optimization methods,faster convergence,show potential for
curvature matrices,model parameters,size depends on number of
block-diagonal approximations,curvature computation,used for
Kronecker-factored approximations,curvature computation,used for
second-order pre-training,large language models,enabled for
approximations,theoretical guarantees,lack
exact second-order optimization,approximations,avoiding
neural networks,layered structure,built on
layered structure,matrix-vector products,core operations consist of
layered structure,nonlinearities,combined with
neural networks,symmetries,exhibit
permutation symmetry,neural network,illustrates invariance of output under
permutation symmetry,swapping rows of parameter matrix,corresponds to
permutation symmetry,swapping columns of subsequent matrix,corresponds to
exact second-order optimization,small-scale models,tractable only for
exact second-order optimization,reversible neural networks,tractable for specific architectures like
symmetries,architecture,vary by
tailored optimization algorithm,unique symmetries,designed by harnessing
