node_1,node_2,edge
Invariant Slot Attention,Slot Attention,extends with slot-centric reference frames
Invariant Slot Attention,object discovery,method for
slot-centric reference frames,spatial symmetries,incorporates
slot-centric reference frames,position encodings,"transforms via translation, scaling, and rotation"
Slot Attention,objects,learns about in self-supervised manner
object discovery,composable abstractions,aims to discover from raw perceptual data
Invariant Slot Attention,data efficiency,improves
Invariant Slot Attention,Tetrominoes,evaluated on
Invariant Slot Attention,CLEVR-Tex,evaluated on
Invariant Slot Attention,Objects Room,evaluated on
Invariant Slot Attention,MultiShapeNet,evaluated on
Invariant Slot Attention,Waymo Open dataset,evaluated on
Invariant Slot Attention,Waymo Open dataset,shows promising improvements on
Invariant Slot Attention,JAX/FLAX source code,has source code at
Invariant Slot Attention,Model checkpoints,has checkpoints at
Invariant Slot Attention,Interactive demo,has interactive demo at
Invariant Slot Attention,NeurIPS’22 NeurReps workshop,appeared at
Spatial Symmetry in Slot Attention,Invariant Slot Attention,earlier version of
Invariant Slot Attention,Google Research,developed at
Humans,high level abstractions of objects,have intrinsic ability to form
Humans,canonical reference frames,place onto objects
canonical reference frames,coordinate system,entail
coordinate system,robust object representations,allows forming
robust object representations,viewpoint-invariant manner,enables
grid cells,hierarchy of reference frames,represent
grid cells,relative transformations,model
object-centric representation learning,visual scenes,decomposes into objects
object-centric representation learning,direct supervision,challenging in absence of
invariant object representations,machine learning,beneficial in
Slot Attention,encoded image,attends to
Slot Attention,slot position and scale,computes from attention masks
Slot Attention,relative coordinate grids,creates
