node_1,node_2,edge
biological neural networks,sparsity,characterized by high degree of
sparsity,activation sparsity,is also known as
noisy training,sparsely firing neurons,introduces implicit loss terms that result in
sparsely firing neurons,high variance features,specialize to
noisy training,biological receptive fields,enables learning of
noisy training,model interpretability,potentially increases
noisy training,robustness,provides additional benefits to
noisy training,computational efficiency,provides additional benefits to
biological neural networks,artificial neural networks,differ in activation sparsity
sparse representations,advantages,has
sparse representations,disadvantages,has
sparse representations,unclear implications,has
sparse representations,metabolic efficiency,is a reason for
action potentials,brain’s energy,consume ~20% of
sparse coding,L1 penalty,enforces
L1 penalty,neuron activations,penalizes
sparse coding,biological receptive fields,results in learning
noise,activation sparsity,is a key driver behind
random isotropic Gaussian noise,sparse activations,produces
random isotropic Gaussian noise,biological receptive fields,produces
noisy training,Frobenius norm,adds penalty to minimize
Noisy training,Loss function,adds penalty to
First order Taylor approximation,Noisy training,used to derive penalty
Penalty,Frobenius norm of Jacobian,minimizes
Frobenius norm of Jacobian,Model outputs,measures robustness to input perturbations
Model outputs,Input perturbations,should be robust to
Noisy training,Sparsity,fails to produce
Noisy training,Biological receptive fields,fails to produce
Frobenius norm,L2 penalty,is an
L2 penalty,L1 penalty,contrasted with
Noisy training,Neuron Sparsity,adds term to maximize
Noisy training,Neuron Activation Margin,adds term to maximize
Noisy training,Specialized Model Weights,adds term to maximize
ReLU activation function,Neuron pre-activation,determines if neuron is turned off
Neuron,Negative pre-activation,should have to be turned off
