node_1,node_2,edge
T-CREx,counterfactual explanation (CE),is a method for generating
T-CREx,tree-based surrogate models,leverages
T-CREx,counterfactual rules,learns
T-CREx,metarules,produces alongside
metarules,regions of optimality,denote
counterfactual explanation (CE),recourse,provides foundation for
recourse,users,enables to change adverse output
T-CREx,rule-based baselines,achieves superior performance over
T-CREx,CE desiderata,achieves superior aggregate performance on
counterfactual explanation (CE),eXplainable AI (XAI),is a technique in
group-level CEs,global model behaviour analysis,provides a route to
group-level CEs,subgroup fairness properties,provides a route to analysing
diverse CEs,recourse options,presents users with a range of
diverse CEs,practically actionable recourse,increases chance of
summarising diverse CEs,compact rule-based form,results in
compact rule-based form,information overload,mitigates
compact rule-based form,recourse noise,provides robustness to
recourse noise,extended range of feature values,specified by
orange rule,inputs with x1 ≤ 3 and x2 ≤ 5,optimal for
orange rule,sparsity,requires changing only one feature
green rule,feasibility,preferred because it contains a greater number of points
rules,metarules,combined to create global textual summary
global textual summary,counterfactual explanation (CE),enables near-instantaneous generation via lookup
T-CREx,tree-based surrogate models,uses
tree-based surrogate models,counterfactual rules,learns
counterfactual rules,regions of input space,denote
metarules,regions,denote for which each rule is optimal CE
optimal rule,sparsity,joint function of
optimal rule,feasibility,joint function of
T-CREx,model-agnostic,is
T-CREx,black box access,requires only
T-CREx,numerical and categorical features,handles
T-CREx,classification and regression problems,handles
prior method,Rawal & Lakkaraju,attributed to
prior method,diverse CEs for groups of instances,provides
