node_1,node_2,edge
Multimodal learning,Variational autoencoders (VAEs),uses
Variational autoencoders (VAEs),joint distributions,requires estimating
joint distributions,evidence lower bound (ELBO),evaluates
product of experts,single-modality distributions,aggregates
mixture of experts,single-modality distributions,aggregates
product of experts,independence,assumes
mixture of experts,independence,assumes
consensus of dependent experts (CoDE),single-modality distributions,aggregates
consensus of dependent experts (CoDE),independence assumption,circumvents
CoDE-VAE,evidence lower bound (ELBO),proposes novel
CoDE-VAE,joint likelihood,approximates
CoDE-VAE,generative coherence,balances trade-off with generative quality
CoDE-VAE,generative quality,balances trade-off with generative coherence
CoDE-VAE,log-likelihood estimations,generates more precise
CoDE-VAE,generative quality gap,minimizes as number of modalities increases
CoDE-VAE,unimodal VAEs,achieves similar generative quality
CoDE-VAE,state-of-the-art multimodal VAE models,comparable classification accuracy
CoDE-VAE,state-of-the-art multi-modal VAE models,comparable classification accuracy to
CoDE-VAE,https://github.com/rogelioamancisidor/codevae,available at
multimodal data,learned representations,tends to produce more generalizable
variational autoencoders (VAEs),representations from multiple data modalities,used to learn
variational autoencoders (VAEs),generating new observations,capable of
variational autoencoders (VAEs),inferring joint representations,capable of
multimodal data,expensive to obtain,is
multimodal VAEs,generate representations,should be able to
model inference,access to all modalities,not guaranteed to have
multimodal VAEs,representations,generate
multimodal VAEs,missing modalities,generate representations even when some modalities are missing
scalable multimodal generative models,VAEs,use
single-modality distributions,experts,called
number of experts,number of modalities M,linear to
product of experts (PoE),mixture of experts (MoE),predominant methods to estimate joint variational posterior distributions in multimodal VAEs
product of experts (PoE),mixture of experts (MoE),assume independence between the experts
product of experts (PoE),joint posterior,can produce posterior distributions with lower density if any expert has low density
product of experts (PoE),results,can be biased if precision of experts is miscalibrated
mixture of experts (MoE),weights,can be seen as probabilities that the distribution is correct
mixture of experts (MoE),joint posterior,inefficient in high-dimensional spaces
