node_1,node_2,edge
Causal discovery,Conditionally stationary time series,applied to
Causal discovery,State-Dependent Causal Inference (SDCI),is named as
Conditionally stationary time series,Latent state variables,modeled by conditioning on
State-Dependent Causal Inference (SDCI),Causal dependencies,recovers
State-Dependent Causal Inference (SDCI),State-dependent causal structures,identifies
Nonstationary time series,Conditionally stationary time series,is a subclass of
Causal discovery,Observational data,infers from
Causal discovery,Stationary time series,traditionally limited to
deep neural networks,causal discovery,perform
causal discovery,interpretability,critical for
causal discovery,generalization,critical for
causal discovery,robustness,critical for
structure identifiability,unique correspondence,key to ensure
unique correspondence,observations,between
unique correspondence,underlying causal structures,between
time series analysis,causal discovery,identifies
causal discovery,temporal causal structure,identifies
historical approaches,stationarity,rely on
real-world data,nonstationary,is often
real-world data,hidden confounders,has potential
nonstationary noise,causal discovery,modelling
time-dependent effects,fixed causal structure,introducing
nonstationary noise,causal discovery,is a challenge for
time-dependent effects,fixed causal structure,introduced with
discrete latent variables,structural changes over time,captures
causal discovery,nonstationary time series,addresses
conditionally stationary time series,nonstationary time series,is a relaxed assumption for
conditionally stationary time series,discrete state variables,dynamics change depending on
causal structures,conditionally stationary time series,can change over time and across samples in
causal discovery task,conditionally stationary time series,poses different challenges for
states observed/independent,conditionally stationary time series,is a scenario for
states determined,conditionally stationary time series,is a scenario for
states determined,observations,depends on
states observed/independent,structure identifiability,established by
states determined,balls’ positions,determined by
