node_1,node_2,edge
Geometry-Informed Neural Networks (GINNs),shape-generative neural fields,framework for training
Geometry-Informed Neural Networks (GINNs),user-specified design requirements,leverages as objectives and constraints
Geometry-Informed Neural Networks (GINNs),diversity constraint,avoids mode-collapse by adding
Geometry-Informed Neural Networks (GINNs),multiple diverse solutions,generates
Geometry-Informed Neural Networks (GINNs),geometry tasks,applied to
Geometry-Informed Neural Networks (GINNs),"physics, geometry, and engineering design",applied to problems spanning
Geometry-Informed Neural Networks (GINNs),geometrical and topological properties,shows control over
Geometry-Informed Neural Networks (GINNs),surface smoothness,controls property of
Geometry-Informed Neural Networks (GINNs),number of holes,controls property of
shape-generative models,data,trained without
large shape datasets,supervised learning methods,limits application of
geometry,"computer graphics, design, and engineering",is a ubiquitous tool in
large datasets,advanced supervised learning techniques,scarcity restricts use of
design,large datasets,domain with scarcity of
engineering,large datasets,domain with scarcity of
physics,large datasets,domain with scarcity of
alternative learning strategies,scarcity of large datasets,necessitates exploration of
formal problem descriptions,disciplines,equipped with
objectives,formal problem descriptions,component of
constraints,formal problem descriptions,component of
data-free approaches,PDEs,successful in
data-free approaches,molecular science,successful in
data-free approaches,combinatorial optimization,successful in
geometry-informed neural networks (GINNs),data-free approaches,analogous attempt of
GINNs,design requirements,trained to satisfy
GINNs,feasible shapes,produces
GINNs,training samples,does not rely on
GINNs,structural optimization problem,solves
GINN,structural optimization problem,solves
GINN,neural fields,uses
neural fields,geometry representations,offer
GINN,physics-informed neural networks,analogous to
GINN,classical structural optimization,contrasted with
GINN,multiple solutions,generates
solution diversity,explicit constraint,enforced as
GINN,shape-generative models,used as
GINN,user-specified design constraints,satisfies
constrained optimization,differentiable losses,converts constraints into
