node_1,node_2,edge
next-token prediction,autoregressive inference,is a phase of
next-token prediction,teacher-forced training,is a phase of
teacher-forced training,accurate next-token predictor,aims to learn
autoregressive inference,error compounding,can suffer from
teacher-forced training,failure to learn accurate predictor,can result in
teacher-forcing failure,planning task,is demonstrated in
Transformer,planning task,fails on
Mamba architecture,planning task,fails on
failure in next-token prediction,predicting multiple tokens in advance,can be resolved by
next-token prediction,modern language model,core part of
next-token prediction,human thought,cannot truly model
next-token prediction,improv artist,merely an impressive
humans,plans,"imagine, curate and backtrack"
present-day language model,strategies,does not explicitly build in
criticism,next-token prediction,aimed at crystallizing
human-generated language,next-token prediction,does not follow
sequence generation task,autoregressive,possible
sequence generation task,autoregressive model,can be performed by
next-token predictor,chain rule of probability,simulates
autoregressivity,human language learning,not antithetical to
next-token predictor,long sequences,accuracy may break down for
next-token error,erroneous token probability,compounds exponentially
next-token predictor,poor planners,may be
inference-time autoregression,model's own previous outputs,consumes as inputs
training-time teacher-forcing,ground truth tokens,consumes as inputs
compounding of errors,superficial failure,pinpoints
