node_1,node_2,edge
Split Conformal Prediction (SCP),confidence intervals,constructs
Split Conformal Prediction (SCP),False Coverage Proportion (FCP),may not control
False Coverage Proportion (FCP),False Coverage Rate (FCR),fluctuates around its mean
CoJER,False Coverage Proportion (FCP),achieves sharp control in probability
CoJER,conformal prediction,method for
CoJER,aggregation scheme,incorporates
CoJER,standard SCP,provides FCP control while standard SCP does not
CoJER,state-of-the-art method for FCP control,yields shorter intervals than
conformal p-values,transductive setting,distribution characterized in
conformal prediction,confidence intervals,generates
conformal prediction,nonparametric techniques,is a type of
conformal prediction,predictive model,applied to
split conformal prediction (SCP),conformal prediction,is a variant of
split conformal prediction (SCP),computational efficiency,improves
split conformal prediction (SCP),scalability,improves
split conformal prediction (SCP),training set,uses
split conformal prediction (SCP),calibration set,uses
training set,model,trains
calibration set,non-conformity scores,computes
non-conformity scores,confidence intervals,used to compute
Split conformal prediction,non-conformity scores,uses to compute
non-conformity scores,confidence intervals,used to compute
Split conformal prediction,full conformal prediction,simplifies computation compared to
Split conformal prediction,marginal coverage,ensures
marginal coverage,prediction intervals,ensures contain true value specified proportion of time
Split conformal prediction,multiple test points,encounters limitations when applied to
multiple test points,false coverage proportion (FCP),requires control of
false coverage proportion (FCP),prediction intervals,proportion that fail to contain true value
Split conformal prediction,False Coverage Rate (FCR),controls expected proportion of non-covered points
Split conformal prediction,false coverage proportion (FCP),does not guarantee control over actual proportion
method to control FCP,conformal p-values,introduced using
