node_1,node_2,edge
Variational Sparse Inverse Cholesky Approximation,Latent Gaussian Processes,approximates
Double Kullback-Leibler Minimization,Variational Sparse Inverse Cholesky Approximation,used in
Gaussian distributions,Variational Sparse Inverse Cholesky Approximation,family of distributions used by
sparse inverse Cholesky (SIC) factors,covariance matrices,sparsity pattern of
SIC-restricted Kullback-Leibler-optimal approximation,prior,approximates
SIC ordering,sparsity pattern,determines
nearest-neighbor-based sparsity pattern,prior and posterior approximations,results in accurate
stochastic gradient descent,variational approximation,computes
double-Kullback-Leibler-optimal Gaussian-process approximation (DKLGP),stationary kernels,more accurate for
inducing-point approximations,double-Kullback-Leibler-optimal Gaussian-process approximation (DKLGP),alternative to
mean-field approximations,double-Kullback-Leibler-optimal Gaussian-process approximation (DKLGP),alternative to
geo-statistics,Gaussian Process (GP),uses
computer model emulation,Gaussian Process (GP),uses
machine learning,Gaussian Process (GP),uses
Latent GP (LGP) models,Gaussian Process (GP),extends
Latent GP (LGP) models,generalized GPs,includes
Latent GP (LGP) models,noisy data,handles
Latent GP (LGP) models,categorical data,handles
Latent GP (LGP) models,count data,handles
LGP inference,analytically intractable,is
GP inference,large datasets,prohibitive for
GP inference,cubic scaling,suffers from
challenges for (L)GPs,specify or learn a suitable kernel,includes
challenges for (L)GPs,fast inference for a given kernel,includes
GP (Gaussian Process),fast inference,challenge addressed by the paper
parametric kernel form,LGP (Layered Gaussian Process) inference,assumed given for efficient approximation
LGP inference,structured variational learning,approximated via
scaling GPs,large datasets,challenge addressed by reviewed approaches
low-rank approaches,pseudo points,use small number of
low-rank GP approximations,variational inference,combined with
nearest-neighbor Vecchia approximations,GP scalability,achieves
nearest-neighbor Vecchia approximations,sparse inverse Cholesky (SIC) factors,optimal with respect to forward KL divergence under restriction of
SIC approximations,valid joint density function,result in
valid joint density function,product of univariate conditional Gaussians,given by
univariate conditional Gaussians,cubic complexity in the number of neighbors,computed in
SIC approximations,mini-batch subsampling,allows
