node_1,node_2,edge
Shapley values,marginal contributions,computed from
Shapley values,ordering of variables,depends on
Pearl-Verma theorem,ordering of variables,depends on
Shapley values,average over all orderings,computed by
causal inference methods,orderings with minimal edges,select
maximum entropy perspective,Shapley values,reinterprets
maximum entropy perspective,causal inference approaches,reinterprets
Shapley values,no prior knowledge about orderings,assumes
causal inference approaches,Occam's razor,applies
Occam's razor,simplest explanatory graphs,produces
blind application of Occam's razor,Shapley values,does not produce satisfactory explanations
entropy maximization,Shapley values,proposes variations of
entropy maximization,prior information about the model,incorporates
Shapley values,feature attribution,used for
Shapley values,average marginal contribution of each player,given by
Shapley values,feature attribution,used for
model output,team's payoff,analogous to
feature,individual player,analogous to
payoff function,subset of features,defined for
Shapley values,Algorithm 1,calculated by
additive feature attribution algorithms,eXplainable AI (XAI),used in
feature attribution,cooperative games,akin to
individual players,team's success,contribute to
Shapley values,marginal contribution,calculated as the average of
marginal contribution,feature instance,associated with
Shapley values,ordering,averaged over all possible orderings
payoff function,subset of features,expectation of model output given
Shapley values,game theory,concept from
Shapley values,player contribution,isolates
