node_1,node_2,edge
Federated Learning,Trustworthy Federated Learning,is a subfield of
Trustworthy Federated Learning,malicious participants,requires resilience against
Trustworthy Federated Learning,data privacy,requires
Trustworthy Federated Learning,trusted central server,typically assumes
CAFCOR,robust gradient aggregation,integrates
CAFCOR,correlated noise injection,integrates
CAFCOR,shared randomness,uses
shared randomness,participants,shared between pairs of
CAFCOR,local differential privacy,outperforms
CAFCOR,central DP utility,approaches
local differential privacy,trust assumption,does not make any
central DP utility,server,assumes fully trusted
malicious participants,untrusted server,may collude with
Distributed Stochastic Gradient Descent (DSGD),distributed model training,is a method for
Distributed Stochastic Gradient Descent (DSGD),central server,coordinates
Distributed Stochastic Gradient Descent (DSGD),workers,uses multiple
workers,local mini-batches,compute gradients on
workers,server,transmit gradients to
server,global model,aggregates updates to refine
DSGD,privacy constraints,valuable when
DSGD,data exposure,reduces
trained model,membership inference attacks,vulnerable to
trained model,model inversion attacks,vulnerable to
curious server,gradients,can analyze
curious server,intermediate model states,can analyze
curious server,gradients,analyzes to extract sensitive information
curious server,intermediate model states,analyzes to extract sensitive information
Byzantine workers,updates,arbitrarily manipulates
malicious workers,model performance,degrades by poisoning gradients or models
robust aggregation techniques,malicious workers,mitigates influence of
Differential privacy (DP),robustness,intersection is underexplored
local DP (LDP),robustness,combining incurs fundamental utility cost
