node_1,node_2,edge
Off-policy learning (OPL),inverse propensity scoring (IPS) estimator,minimizes
Exponential Smoothing,Off-policy learning (OPL),applied to regularize
Exponential Smoothing,inverse propensity scoring (IPS) estimator,provides smooth regularization for
PAC-Bayes generalization bound,Exponential Smoothing,derived from
PAC-Bayes generalization bound,inverse propensity scoring (IPS) estimator,valid for standard
clipped IPS,standard IPS,often enjoys favorable performance compared to
off-policy contextual bandit,offline data,uses
off-policy contextual bandit,agent,optimizes decision-making for
agent,context,observes
agent,action,takes
agent,reward,receives
agent,action,takes
agent,reward,receives
reward,observed context,depends on
reward,taken action,depends on
Off-policy evaluation (OPE),policy,evaluates
Off-policy evaluation (OPE),estimator,designs
estimator,expected reward,estimates
estimator,logged data,uses
estimator,importance sampling trick,based on
inverse propensity scoring (IPS),estimator,is a type of
Off-policy learning (OPL),estimator,leverages
Off-policy learning (OPL),improved policy,learns
sample variance penalization (SVP),policies,favors
sample variance penalization (SVP),high estimated reward,favors
sample variance penalization (SVP),low empirical variance,favors
London & Sandler (2019) learning principle,policies,favors
London & Sandler (2019) learning principle,high estimated reward,favors
London & Sandler (2019) learning principle,parameter not far from logging policy,favors
parameter,logging policy,not far from in terms of L2 distance
learning principles,generalization bounds,derived from
learning principles,guarantees on expected performance,do not give
learning principles,hyper-parameters,require tuning of
learned policy,expected performance,no guarantees on
hyper-parameters,tuning,requires additional care
Sakhi et al. (2022),generalization bounds,motivated derivation of
generalization bounds,optimization,directly optimized
hard clipping,IPS (Inverse Propensity Scoring),shortcoming of
exponential smoothing,hard clipping,smoother correction for
OPL (Offline Policy Learning),PAC-Bayes theory,leverages
PAC-Bayes theory,two-sided generalization bound,derives
two-sided generalization bound,estimator,for
prior works,bound,contrasts with
standard IPS,clipping,valid without
importance weights,boundedness,not assumed
sample complexity,learning procedure,insights into
approach,favorable performance,enjoys
agent,contextual bandit environment,interacts with
context,distribution ν,observed from
