node_1,node_2,edge
Averaging checkpoints,Generalization performance,improves
Averaging checkpoints,Training time,reduces
Weight averaging,Training time,reduces
Weight averaging,Generalization,improves
Weight averaging,Learning rate decay,can replace
Averaging,Learning rate annealing,combines with for optimal performance
AlgoPerf benchmark,Optimization algorithms,benchmarks
Averaging techniques,Deep Learning,evaluated in
weight averaging,Polyak (1990),originated from
weight averaging,Ruppert (1988),originated from
weight averaging,model weights,averages across training iterations
weight averaging,ensemble of models,creates at minimal additional cost
weight averaging,generalization,improves
weight averaging,robustness,increases
weight averaging,loss landscapes,smooths
weight averaging,convergence,accelerates
learning rate decaying,weight averaging,connected to
weight averaging,schedule-free algorithms,used to develop
weight averaging,compute costs,reduces
averaging,compute costs,reduces
NadamW + LAWA + EMA,GPU-Hours,"achieves values of 612, 550, 541"
this work,largest evaluation of averaging techniques,presents
AlgoPerf,benchmark for optimization algorithms,provides
weight averaging,training time,can reduce
averaging checkpoints,generalization performance,improves
weight averaging,learning rate decay schedule,can be a proxy for
averaging,training dynamics,accelerates
averaging,GPU-hours,reduces by 12%
Distributed Shampoo,averaging,benefits from speed-ups
