node_1,node_2,edge
Relational DNN Verification,Cross Executional Bound Refinement,uses
Relational DNN Verification,deep neural networks (DNNs),verifies properties over
Relational DNN Verification,robustness against universal adversarial perturbations (UAP),verifies property such as
Relational DNN Verification,certified worst-case hamming distance for binary string classifications,verifies property such as
Relational DNN Verification,multiple executions of the same DNN,requires reasoning about
existing works in DNN verification,properties defined over single executions,handle only
existing works in DNN verification,relational properties,are imprecise for
recent works for relational DNN verification,linear dependencies between the inputs of multiple executions,capture
recent works for relational DNN verification,dependencies between the outputs of hidden layers,do not leverage
RACoon,cross-execution dependencies at all layers of the DNN,utilizes
RACoon,SOTA baselines,gains substantial precision over
deep neural networks (DNNs),safety-critical areas like autonomous driving or medical diagnosis,are used in
DNNs,decisions,make
DNNs,black-box nature,characterized by
DNNs,highly nonlinear behavior,characterized by
DNNs,vulnerabilities,have
DNN vulnerabilities,mitigating,target of
DNN vulnerabilities,identifying,target of
methods,safety,cannot guarantee
research,formally verifying safety properties,dedicated to
DNN verification techniques,relational properties,cannot handle
existing efforts,input-specific adversarial examples,focus on verifying absence of
attacks,individual inputs,target
practical attack scenarios,universal adversarial perturbations (UAPs),trend towards developing
Universal Adversarial Perturbations (UAPs),inputs from the training distribution,designed to affect a significant portion of
Universal Adversarial Perturbations (UAPs),multiple perturbed inputs,applied to
multiple perturbed inputs,different executions,are related through
relational verifiers,relationship between different executions,exploit
existing DNN verifiers,individual executions,work on
existing DNN verifiers,relational verifiers,lack capabilities compared to
relational properties,worst-case hamming distance,includes measuring
relational properties,worst-case absolute difference,includes bounding
worst-case absolute difference,original number,between
worst-case absolute difference,number classified,between
number classified,digit classifier,classified using
digit classifier,inputs perturbed with common perturbation,processes
precise relational verification,scalable algorithms,requires
scalable algorithms,relationship between DNN’s outputs across multiple executions,track
DNN executions,piecewise linear activation functions,encoded with
piecewise linear activation functions,ReLU,e.g.
input regions,linear inequalities,specified by
MILP (Mixed Integer Linear Program),DNN executions,encodes
MILP optimization problem,computationally expensive,is
MILP encoding of k executions,nr ReLU activations,introduces O(nr × k) integer variables
