node_1,node_2,edge
Learning to Optimize,Differentiable Games,applied to solve
Differentiable Games,Game Theory,formulation of
Game Theory,Nash Equilibrium,seeks to find
Nash Equilibrium,Stable Fixed Points,equivalent to
Generative Adversarial Networks,Differentiable Games,example of
Multi-Agent Reinforcement Learning,Differentiable Games,example of
Learning to Play Games,Learning to Optimize,customized framework of
Learning to Play Games,Stable Fixed Point,seeks to find
Learning to Play Games,Gradient Stability-Aware Loss,uses
Gradient Stability-Aware Loss,Sign-Based Loss Function,type of
Learning to Play Games,Curriculum Learning,incorporates
Learning to Play Games,Self-Learning,incorporates
Curriculum Learning,Training Stability,strengthens
Self-Learning,Generalization,strengthens
Quadratic Games,Test Problems,example of
GANs,Test Problems,example of
machine learning,optimizing neural networks,based on
optimizing neural networks,single objective function,with respect to
problems,optimizing nested objectives,require
generative adversarial networks,multi-level optimization,examples of nested objectives
multi-objective problems,differentiable games,modeled as
differentiable games,players,correspond to
players,objective functions,introduced for
solutions of differentiable games,equilibrium points,defined as
equilibrium points,local Nash equilibrium,such as
equilibrium points,stable equilibrium,such as
stable equilibrium,stable fixed points,also known as
stable fixed points,optimization,more appealing from perspective of
algorithms,stable fixed points,proposed to locate
algorithms,empirical instability,suffer from
hyperparameters,convergence speed,affect
learning rates,hyperparameters,example of
coefficients of regularization,hyperparameters,example of
hyperparameters,convergence speed,affect
learning rates,hyperparameters,is a type of
coefficients of regularization,hyperparameters,is a type of
pre-chosen set of hyperparameters,satisfactory convergence speed,cannot consistently achieve
algorithms,ad-hoc tuning,demand
ad-hoc tuning,trial-and-error experiments,is done by
automatic and flexible algorithm,differentiable games,solves
Learning to Learn,optimization paradigm,is a
Learning to Optimize (L2O),Learning to Learn,is also known as
L2O,problem-specific efficient optimization algorithms,learns
optimizer,neural network,is parameterized by
optimizer,optimization problems,solves
data-driven training,optimizer,produces
L2O,differentiable games,is extended to
performance,optimizer,trains
metric,distance to fixed points,characterizes
metric,stability,characterizes
game dynamics,L2O models,needs representation for
