node_1,node_2,edge
Agnostic Sample Compression Schemes,Regression,applied to
Agnostic Sample Compression Schemes,ℓp loss,uses
ℓp loss,"p ∈ [1, ∞]",parameterized by
Approximate sample compression scheme,real-valued function classes,constructed for
Approximate sample compression scheme,fat-shattering dimension,exponential size in
Linear regression,approximate compression,has
Linear regression,size linear in the dimension,compression size
ℓ1 loss,exact sample compression scheme,admits
ℓ∞ loss,exact sample compression scheme,admits
"ℓp loss, p ∈ (1, ∞)",exact agnostic compression scheme of bounded size,does not exist
Negative result,"David, Moran, and Yehudayoff (2016)",refined and generalized from
ℓ2 loss,"David, Moran, and Yehudayoff (2016)",negative result for
Agnostic regression with ℓ1 loss,exact compression scheme of polynomial size,open question: does every function class admit?
Exact compression scheme of polynomial size,pseudo-dimension,size polynomial in
ℓ2 loss,approximate compression scheme of polynomial size,open question: does every function class admit?
Approximate compression scheme of polynomial size,fat-shattering dimension,size polynomial in
Warmuth’s classic sample compression conjecture,realizable-case classification,for
Sample compression,learning theory,central problem in
Sample compression,learning theory,is a central problem in
Sample compression,labeled sample,retains a small subset of
Sample compression,hypothesis,uniquely defines a good
realizable sample compression problem,VC classes,is a classic problem for
realizable sample compression problem,Littlestone and Warmuth,posed by
realizable sample compression problem,Moran & Yehudayoff,positively resolved by
VC-dimension,concept class,is a property of
consistent with the sample,good hypothesis,defines
compression scheme,agnostic case,generalized to
compression scheme,realizable case,extended from
VC classes,agnostic case,extended to cover
bounded-size compression scheme,VC classes,implies for agnostic case
graph dimension,VC-dimension,replaces in multiclass generalization
binary concept families,multiclass concept families,generalized from
real-valued function classes,linear functions,includes
linear functions,ℓ2 loss,under which no constant-size exact agnostic compression scheme exists
realizable linear regression,sample compression of size d+1,admits
compression-based learning algorithm,generalization ability,equivalent to
