node_1,node_2,edge
Expertise Trees,Knowledge Limitations,resolves
Expertise Trees,Collective Decision-Making,improves
Experts,Decision-Makers,advise
Expertise,Problem Instance,varies with
Problem Space,Regions of Differing Expertise,partitioned into
Algorithms,Relationship between Problem Instances and Experts’ Knowledge,consider and adapt to
Naive Approach,Nearest Neighbor Queries,based on
Expertise Trees,Decision Trees,constructs
Decision Trees,Learner,enables selection of appropriate models
Medical Diagnostics,Expertise Trees,example of problem setting for
Medical Experts,Patients,diagnose
Symptoms,Treatment,determine
patient’s medical record,most appropriate treatment,used to select
experts’ knowledge and experience,most appropriate treatment,used to select
most appropriate treatment,patient,applied to
treatment,effectiveness,evaluated based on
effectiveness,measure of recovery,includes
effectiveness,side effects,includes
effectiveness,cost,includes
rational objective,effectiveness of treatments,maximizes
effectiveness of treatments,advice of medical experts,function of
medical experts,best treatment,agree on
best treatment,objective characteristics,based on
objective characteristics,success rate,includes
objective characteristics,side effects,includes
objective characteristics,cost,includes
expert opinions,objective factors,influenced by
expert opinions,subjective views,influenced by
clinician,efficacy of a treatment,has views about
efficacy of a treatment,previous experience with comparable patients,based on
divergences,factors outside expert’s control,result from
clinician’s views,divergences,can result in
divergences,factors outside expert’s control,can result from
divergences,cognitive biases,can result from
cognitive biases,confirmation bias,includes
cognitive biases,primacy effect,includes
medical experts,efficacy of a treatment,may overstate
confirmation bias,overstating efficacy,causes
primacy effect,overstating efficacy,causes
experts,individual advice,provide
individual advice,previous experience,based on
diverse set of experts,disagree,may
decision-making process,multiple iterations,involves
multiple iterations,different problem instances,occurs on
different problem instances,different patients,example of
different problem instances,different medical records,example of
adapt to expertise,multiple iterations,enabled by
challenge,identifying appropriate way to act on expert advice,is
partial feedback,challenge,heightens
partial feedback,outcome of decisions we make,only observe
outcome of decisions we make,chosen treatment,example of
expert advice,complex decision problems,used to solve
complex decision problems,uncertainty,in face of
bandits,expert advice,studied in context of
prior approaches,leveraging expert advice,not conditioned on characteristics of each problem instance
localized expertise,quality of experts,considers
quality of experts,problem instance,changes as function of
problem instance,observed set of features,includes
