node_1,node_2,edge
Chain-of-thought reasoning,Transformers,enhances computational capabilities of
Scratchpads,Transformers,enhances computational capabilities of
Polynomial-length scratchpads,Transformers,extends expressivity from TC0 to PTIME
Chain-of-thought reasoning,algorithmic problems,requires lower bounds for number of steps
Hard-attention regime,Chain-of-thought reasoning,studied in context of lower bounds
PARITY,Transformers,requires scratchpads despite being in TC0
MULTIPLICATION,Transformers,requires scratchpads despite being in TC0
Chain-of-thought reasoning,LLMs,standard practice for solving hard problems with
OpenAI o1,Chain-of-thought reasoning,powered by
DeepSeek-R1,Chain-of-thought reasoning,powered by
Chain-of-Thought (CoT),reasoning abilities,elevates
Chain-of-Thought (CoT),inference costs,increases
Chain-of-Thought (CoT),number of tokens,increases
CoT compression,minimal sufficient length,limited by theoretical understanding
high-sensitivity problems,PARITY,example of
transformers,high-sensitivity problems,difficult to represent
Chain-of-Thought (CoT),local steps,decomposes problems into
CoT length,input length,function of
Chain-of-Thought (CoT),theoretical limits of CoT compression,are unclear in
Chain-of-Thought (CoT),algorithmic problems,used to solve
transformers,algorithmic problems,solve with CoT
CoT length,lower bounds,are provided by
PARITY function,transformers,struggled by
PARITY function,CoT,resolved by
CoT,parities of increasing prefixes,consists of
CoT,extra decoding steps,requires
linear-length CoT,optimality,questioned for
shorter CoT,linear-length CoT,compared to
paper,explicit and unconditional bounds,develops
explicit and unconditional bounds,CoT length,on
