node_1,node_2,edge
Label Differential Privacy,Private Training Data Release,is a mechanism for
Label Differential Privacy,privacy guarantees,provides
Label Differential Privacy,features,assumes features are public
Label Differential Privacy,labels,protects privacy of
features,labels,interplay between
adding noise to the label,privacy guarantee,can lead to arbitrarily weak
privacy loss,data,estimated from
new mechanism,synthetically generated data,replaces training examples with
new mechanism,privacy-utility tradeoff,has better
synthetic data,realistic,is
machine learning competitions,Netflix,hosted by
machine learning competitions,Yahoo!,hosted by
machine learning competitions,Criteo,hosted by
machine learning competitions,Kaggle,hosted by
individual users,labeled example,contribute to dataset
learner,model,trains to predict labels
local model of differential privacy,privacy protection,provides mathematically rigorous definition
dataset,competition,shared as part of
learner,training algorithm,not restricted to
learner,model class,not restricted to
differentially private mechanisms,user data,protect
label differential privacy,differential privacy,relaxation of
label differential privacy,training label,protects
label differential privacy,features,does not necessarily protect
early mechanisms,label differential privacy,satisfied
early mechanisms,specific training algorithm,bound to
early mechanisms,inefficient,were
label differential privacy,training algorithm,bound to
label differential privacy,randomized response,based on applying to each training label
randomized response,learner,gives flexibility to use any training algorithm
label differential privacy,features,assumes features are public knowledge
label differential privacy,label inference attacks,does not protect from
label inference attacks,features,use features to predict training labels
attacker,features,has a priori access to
attacker,training data,obtains from same source
hospital,machine learning competition,wants to launch
hospital,patients,asks for consent to share data
patients,illness status,not public knowledge
patients,X-ray images,not public knowledge
