node_1,node_2,edge
Transcriptomics,Microscopy imaging,complementary modalities for understanding cellular responses
Weakly paired datasets,Multimodal learning,enables but limited by data scarcity
Cross Modal Knowledge Distillation,Transcriptomics representations,enhances through morphological features
Semi-Clipped,CLIP,adaptation for cross-modal distillation
PEA (Perturbation Embedding),Data augmentation,addresses data scarcity
Morphological features,Gene expression representations,enriches with morphological information
CLIP,cross-modal distillation,used for
cross-modal distillation,pretrained foundation models,uses
PEA,Perturbation Embedding Augmentation,stands for
PEA,transcriptomics data,enhances
PEA,biological information,preserves
transcriptomics data,predictive power,improves
transcriptomics data,interpretability,retains
unimodal representations,complex biological tasks,enables
cells,stimuli,respond to
cellular functions,drug targets,identifies
current technologies,cellular activities,limited in capturing
human protein-coding genes,chemical compounds,interact with
deep learning,biology,advances in
deep learning,protein structures,predicts
deep learning,molecular binding,models
deep learning,biological patterns,uncovers
biological patterns,microscopy,observed through
biological patterns,gene expression data,observed through
microscopy,gene expression data,both used to observe biological patterns
unimodal perspective,biological patterns,addresses challenge from
omics modalities,morphological features,includes
omics modalities,proteomics,includes
omics modalities,transcriptomics,includes
morphological features,cellular behavior,provides partial insights into
proteomics,cellular behavior,provides partial insights into
transcriptomics,cellular behavior,provides partial insights into
multimodal fusion,omics modalities,combines
multimodal fusion,comprehensive representations of biological systems,constructs
comprehensive representations of biological systems,drug discovery,critical for accelerating
multimodal data,sample level,paired at
multimodal data,experimental costs,collection infeasible due to
multimodal data,technical challenges,collection infeasible due to
weakly paired datasets,clusters of samples,characterized by
clusters of samples,common biological state,share
two samples,different modalities,considered paired if
two samples,same biological state or metadata,belong to
transcriptomics,microscopy imaging samples,weakly paired with
transcriptomics,microscopy imaging samples,share same cell line
