node_1,node_2,edge
Differentially Private Stochastic Convex Optimization,Quantile Loss Function,studies under
Quantile Loss Function,r-th quantile loss function,takes form of
r-th quantile loss function,c(u) = ru+ + (1 − r)(−u)+,defined as
Quantile Loss Function,smooth approximation,approximated by
smooth approximation,convolution smoothing,obtained via
convolution smoothing,Moreau Envelope,better approximation than
DP stochastic gradient descent,objective perturbation,both used as private algorithms
private algorithms,excess generalization risk,achieve near optimal
objective perturbation,parameter estimation error,derives upper bound on
quantile regression,private inventory control,applications include
Stochastic Convex Optimization,linear quantile loss,minimizes expected
linear quantile loss,"ℓ(θ; x, y) = c(y − θ⊤x)",defined as
support vector machine,learning,application of
quantile regression,learning,application of
inventory control,learning,application of
r-th quantile loss function,symmetric loss functions,compared to
r-th quantile loss function,asymmetric weights,allows imposing
asymmetric weights,distributional relationships,provides insights into
SCO,Empirical Risk Minimization (ERM),closely related to
Empirical Risk Minimization (ERM),estimator,produces
estimator,excess generalization risk,measured by
estimator,mean absolute error,measured by
excess generalization risk,optimization,plays important role in
mean absolute error,statistical inference,relevant to
differential privacy,statistical inference,is more relevant to
estimators,private dataset,may reveal critical information from
differential privacy,algorithm output distribution,guarantees insensitivity to dataset changes
quantile loss function,differentiable loss function,is not
quantile loss function,piecewise linear function,is essentially a
quantile loss function,nonsmoothness,causes
nonsmoothness,unstable estimator,leads to
nonsmoothness,gradient-based optimization,prevents efficiency of
nonsmoothness,uniform stability,invalidates
uniform stability,theoretical analysis,is crucial for
nonsmooth loss functions,DP-SCO,are addressed in
