node_1,node_2,edge
Data-Copying,Generative Models,is a phenomenon in
Data-Copying,Memorization,is a form of
Data-Copying,Meehan et. al (2020),framework proposed by
Data-Copying,Formal Framework,is defined by
Data-Copying,Detection Method,has a proposed
Detection Method,High Probability,works with
Detection Method,Sample Requirement,characterized by lower bounds on
Memorization,Training Data,involves
Memorization,Deep Neural Networks,occurs in
Generative Models,Training Data,learn from
Non-parametric Methods,Alternative Definition,motivates
Alternative Definition,Data-Copying,provides a more local definition of
data-copying,memorization,is a formal definition of
data-copying,overfitting,is orthogonal to prior notions of
mode collapse,overfitting,is a prior notion of
mode dropping,overfitting,is a prior notion of
precision-recall,overfitting,is a prior notion of
data-copying,training set,compares distances to
data-copying,generated data points,compares distances to
data-copying,test set,compares distances to
data-copying,underfitting,is opposite of
three sample test,data-copying,detects
blatant data copier,training set,outputs a random subset of
generated distribution,blatant data copier,is a mixture including
generated distribution,noisy underfit,is a mixture including
generated distribution,blatant data copier,is a mixture containing 40% of
generated distribution,noisy underfit version of halfmoons,is a mixture containing 60% of
blatant data copier,training set,outputs a random subset of
generated distribution,copying,performs at points x1 and x2
underfit points,detection of copying,cancels effect of
"test of (Meehan et al., 2020)",data copying,unable to detect
generated samples from underfit distribution,effect of memorized examples,cancel out
generative model,egregious memorizer,is an example of
point-wise data copying,training point x,copies
point-wise data copying,global distance based approach,stands in contrast to
global distance based approach,Meehan et. al.,is taken in
