node_1,node_2,edge
Relational reasoning,generally intelligent systems,is a central component of
Neural architectures,relational reasoning,struggle with tasks requiring
Transformers,relational reasoning,struggle with tasks requiring
Sensory information,individual objects,concerns properties of
Relational information,objects,concerns relationships between
Neural attention,sensory information,controls the flow of
Transformer,relational information,lacks explicit mechanism for routing and processing
Dual Attention Transformer (DAT),Transformer framework,is an architectural extension of
Sensory attention,sensory information,directs the flow of
Relational attention,relational information,directs the flow of
Dual Attention Transformer (DAT),relational computational mechanisms,integrates explicit
Transformer architecture,relational computational mechanisms,integrates
relational computational mechanisms,performance gains,leads to
performance gains,data efficiency,in terms of
performance gains,parameter efficiency,in terms of
machine learning research,universal architecture,goal to develop
universal architecture,learning and reasoning,capable of
inductive biases,data efficiency,enhances
inductive biases,generalization,enhances
empirical risk minimization,solutions,has numerous
inductive biases,learning algorithm,steers
machine learning,inductive biases,"uses to promote robust, flexible, and data-efficient learning"
relational reasoning,generally intelligent systems,is a central component of
relational reasoning,abstraction and systematic generalization,underlies human abilities for
relational reasoning,out-of-distribution generalization,grants capacity for
relational reasoning,data efficiency,grants capacity for
relational reasoning,continual learning,grants capacity for
humans,out-of-distribution generalization,have capacity for
modern machine learning,out-of-distribution generalization,has yet to match human capacity for
universal inductive generalization,finite set of observations,can be achieved from
universal inductive generalization,infinite set of novel instances,extends to
symbolic modeling frameworks,relationships between symbols,explicitly define
symbolic modeling frameworks,symbol grounding problem,suffer from
