node_1,node_2,edge
Naive Bayes Classifiers,Missing Data,classify over datasets with missing values
Certifiable Robustness,Naive Bayes Classifiers,property studied for NBC on dirty datasets
Dirty Dataset,Missing Values,contains missing values
Test Point,Certifiable Robustness,is certifiably robust if prediction unchanged across cleaned versions
Polynomial Time Algorithm,Certifiable Robustness,decides robustness for multiple test points efficiently
Data Poisoning Attack,Certifiable Non-Robustness,aims to make test points certifiably non-robust
Data Poisoning Attack,Single Test Point,is polynomial time for single test points
Data Poisoning Attack,Multiple Test Points,is NP-complete for multiple test points
Clean Dataset,Missing Cells,can be poisoned by inserting missing cells
data cleaning,dirty datasets,is a traditional approach to handling
data cleaning,resource-intensive process,is characterized as
data quality,ML models,impacts
certifiable robustness,ML models,is a notion related to
data cleaning,accelerate the data cleaning process,has efforts to
missing data,dirty datasets,is an example of
NULL,missing data,represents
incomplete dataset,possible world,generates
missing value,possible world,imputed to generate
ML classifier,possible world,makes predictions on
certifiable robustness,ML classifier,property of
certifiable robustness,test point,applies to
test point,prediction,has
data cleaning,incomplete dataset,applied to
missing feature,possible world,assigned value in
CustomerID 11014,possible world,predicted consistently across
CustomerID 11015,possible world,predicted inconsistently across
