node_1,node_2,edge
Stability Evaluation Criterion,Distributional Perturbations,defined based on
Stability Evaluation Criterion,Minimal Perturbation,defined as
Minimal Perturbation,Observed Dataset,applied to
Minimal Perturbation,Prescribed Deterioration in Risk Evaluation,induces
Optimal Transport (OT) Discrepancy,Moment Constraints,utilized with
Optimal Transport (OT) Discrepancy,Perturbation,quantifies
Stability Evaluation Criterion,Data Corruptions,addresses
Stability Evaluation Criterion,Sub-population Shifts,addresses
Tractable Convex Formulations,Loss Functions,tailored to
Strong Duality Theorem,Tractable Convex Formulations,key technical tool for
Stability Evaluation Criterion,Learning Models,compares stability of
Stability Evaluation Criterion,Features,compares stability of
Stability Evaluation Criterion,Model Improvement,provides guidelines for
poor out-of-sample performance,discrepancies between training and test datasets,attributed to
discrepancies between training and test datasets,measurement errors during data collection,influenced by
discrepancies between training and test datasets,"deployment in dynamic, non-stationary environments",influenced by
discrepancies between training and test datasets,under-representativeness of marginalized groups in training data,influenced by
poor out-of-sample performance,high-stakes applications,frequently arises in
high-stakes applications,healthcare,such as
high-stakes applications,economics,such as
high-stakes applications,self-driving,such as
divergence between training and test data,"reliability, robustness, and fairness of machine learning models",presents challenges to
machine learning models,reliability,challenged by
machine learning models,robustness,challenged by
machine learning models,fairness,challenged by
distribution shifts,distributionally robust optimization,addressed by
distribution shifts,domain generalization,addressed by
distribution shifts,causally invariant learning,addressed by
distributionally robust optimization,performance degradation,experiences
domain generalization,performance degradation,experiences
causally invariant learning,performance degradation,experiences
data perturbations,data corruptions,categorized into
data corruptions,distribution support,encompass changes in
data corruptions,measurement errors,attributed to
data corruptions,malicious adversaries,attributed to
measurement errors,street noises,example in speech recognition
measurement errors,rounding errors,example in finance
