node_1,node_2,edge
Conformal prediction,outlier detection,used for calibrating
Conformal prediction,reference set,calibrated using
reference set,inlier data,contains
reference set,contaminated reference set,can be contaminated with
contaminated reference set,outliers,contains
contamination,conformal methods,impacts validity of
calibration on contaminated data,conservative type-I error control,yields
conservativeness,loss of power,results in
active data-cleaning framework,limited labeling budget,leverages
active data-cleaning framework,outlier detection model,leverages
active data-cleaning framework,contaminated reference set,selectively annotates data points in
removing annotated outliers,power,enhances
removing annotated outliers,type-I error rate,mitigates risk of inflating
type-I error rate,theoretical analysis,supported by
conformal methods,contamination,exhibit conservative behavior under
data-cleaning strategy,power,improves
data-cleaning strategy,validity,does not sacrifice
outlier detection,reference dataset,uses
outlier detection,test point,assesses deviation from reference distribution
complex machine learning models,type-I error rate control,lack
ML models,type-I error rate control,lack
type-I error,probability of falsely flagging a legitimate transaction as fraudulent,defined as
uncontrolled error rates,costly unnecessary investigations,lead to
uncontrolled error rates,negative impact on customer experience,lead to
conformal prediction,statistical guarantees for black-box predictive models,provides
conformal prediction,outlier detection task,formulates as a statistical test
null hypothesis,new data point is not an outlier,states that
conformal inference,reference (calibration) set of inlier data points,relies on
reference set,sampled i.i.d. from an unknown distribution,assumed to be
reference set,data used to train the outlier detection model,independent of
perfectly clean reference dataset,difficult to obtain in practice,is often
slightly contaminated reference set,mostly legitimate transactions with a few unnoticed outliers,consists of
