node_1,node_2,edge
Geometric Median (GM) Matching,k-subset selection,is a strategy for
Geometric Median (GM) Matching,robust data pruning,used for
Geometric Median (GM),robust estimator,is a
Geometric Median (GM),breakdown point of 1/2,has optimal
empirical mean estimation,outliers,is sensitive to
data pruning,large datasets,selects subset from
GM Matching,noisy data,enhances resilience against
GM Matching,uniform sampling,outperforms
GM Matching,O(1/k) convergence rate,has improved
GM MATCHING,existing pruning approaches,outperforms
GM MATCHING,robust data pruning,is a strong baseline for
data pruning,large training set,reduces
data pruning,small informative subset,produces
deep learning,gigantic models,trained on
gigantic models,vast amounts of training data,trained on
large-scale training,enormous computational costs,associated with
data pruning,computational and storage costs,reduces
combinatorial subset selection problem,importance scoring criterion,solved by
importance scoring criterion,training samples,ranks
training samples,representative samples,retained as
representative samples,downstream model,used for training
spatial sampling approaches,importance score,calculates
importance score,distance from centroid,based on
distance from centroid,class marginal,of corresponding
samples closer to centroid,most prototypical (easy),considered as
samples far from centroid,least prototypical (hard),considered as
canonical scoring criteria,gradients,developed in terms of
canonical scoring criteria,uncertainty,developed in terms of
canonical scoring criteria,forgetfulness,developed in terms of
spatial distance-based score,gradient/uncertainty/forgetting-based score,closely related to
samples close to class centroid,smaller gradient norm,associated with
samples close to class centroid,lower uncertainty,associated with
samples close to class centroid,harder to forget,associated with
samples far from class centroid,larger gradient norm,associated with
samples far from class centroid,higher uncertainty,associated with
samples far from class centroid,easier to forget,associated with
hard examples,downstream generalization performance,contribute most to
