node_1,node_2,edge
Question-answering (QA) capabilities,foundation models,are a property of
Question-answering (QA) capabilities,prompt variations,are sensitive to
model’s preference or bias,specific input characteristics,is directed towards
bias,option position,manifests as preference for
bias,superficial image features,manifests as preference for
STEERFAIR,bias direction,finds
STEERFAIR,model’s representation space,operates in
STEERFAIR,activation values,steers away from bias direction
bias,simple association rules,adheres to
spurious association,first option and correctness likelihood,is an example of
STEERFAIR,demonstrations of these rules,constructs from unlabeled samples
STEERFAIR,bias directions,identifies using demonstrations
STEERFAIR,instruction-tuned model performance variance,reduces
STEERFAIR,supervised baseline with 100 labels,surpasses by 10.86% accuracy points
STEERFAIR,supervised baseline with 500 labels,matches performance
Large Language Models (LLMs),Vision-Language Models (VLMs),are related as types of models showing similar performance characteristics
Large Language Models (LLMs),benchmark question-answering tasks,show impressive performance on
Vision-Language Models (VLMs),benchmark question-answering tasks,show impressive performance on
model performance,input,is highly contingent on
model performance,superficial modifications,can drastically change with
model preferences,specific prompt orderings,reveal bias towards
model preferences,particular answer positions,reveal bias towards
ScienceQA,prompt order changes,model predictions are sensitive to
Visual Genome Relation (VGR),prompt variations,performance is affected by
LLaVA,ScienceQA,tested on
IDEFICS InstructBLIP,ScienceQA,tested on
prompt orderings,answer positions,preferences for specific orderings lead to biases towards particular positions
question-answering scenarios,bias,exhibit bias in
demographic groups,bias,unjustly showing preference or bias against
GPT-4,first presented answers,exhibits bias to
GPT-4,evaluator,used as
instability,bias in training data,traced back to
training data,superficial patterns and associations,leads models to learn
GPT-3,tokens common in its pretraining distribution,biased towards generating
bias,large models,manifests in
eliminating bias,challenging,is
existing methods,effectiveness,lack
existing methods,high costs and inefficiency,characterized by
bias to a certain option position,Multiple Choice Question (MCQ) tasks,persists in
in-context examples,favored position,alter
in-context examples,bias,do not mitigate
solving bias,more data,unlikely by relying solely on
standard fine-tuning,bias,insufficient to solve
in-context learning,bias,insufficient to solve
