node_1,node_2,edge
Conformal Regression,Volume Optimality,studies
Split Conformal Regression,Volume Optimality,topic of
Calibration Step,Empirical Volume Minimization Problem,can be seen as
Split Method,Excess Volume Loss,has finite-sample upper-bound on
Excess Volume Loss,Shortest Oracle Prediction Interval,measures difference in length between interval from split method and
EffOrt,Base Prediction Function,modifies learning step to select
EffOrt,Prediction Intervals,minimizes length of
EffOrt,Excess Volume Loss,theoretical analysis reveals links between learning and calibration steps
Function Class of Base Predictor,Excess Volume Loss,impacts
Ad-EffOrt,EffOrt,extension of
Ad-EffOrt,Prediction Intervals,produces intervals whose size adapts to covariate value
Conformal Prediction,Distribution-Free Prediction Sets,constructs
Conformal Prediction,Probabilistic Coverage,satisfies
Conformal Prediction (CP),distribution-free prediction sets,constructs
Conformal Prediction (CP),probabilistic coverage guarantees,satisfies
prediction set,coverage guarantee,satisfies condition
miscoverage level α,coverage probability,determines lower bound
trivial prediction set,full support Y,equals
trivial prediction set,coverage condition,trivially satisfies
theoretical analyses,upper-bound on coverage probability,includes
upper-bound on coverage probability,1 - α,tends to
number of samples,upper-bound on coverage probability,influences convergence to
prediction set,full support of Y,cannot be
prediction set,coverage,has coverage exactly equal to 1 − α
prediction set,expected size,has expected size of (1 − α)|Y|
prediction set,efficiency,smaller size implies higher efficiency
CP literature,size of predicted sets,suggests to also look at
CP methods,performance,measured by size of predicted sets
statistical control,size of CP sets,few works focus on
C(x),optimization problem,is a solution of
optimization problem,volume measure µ,minimizes expected volume
optimization problem,coverage condition,subject to
coverage condition,P(Y ∈ C(X)) ≥ 1 − α,is
volume measure µ,Lebesgue measure,typically is in regression
volume measure µ,counting measure,typically is in classification
problem (2),problem (1),is more meaningful than
problem (2),coverage and efficiency,encapsulates both key aspects
