node_1,node_2,edge
Collective action,Machine learning,is a study of control over
Learning algorithm,Collective action,influences the success of
Distributionally robust optimization (DRO),Learning algorithm,is a type of
Stochastic gradient descent (SGD),Learning algorithm,is a type of
Distributionally robust optimization (DRO),Worst group error,improves
Stochastic gradient descent (SGD),Inductive bias,has an inductive bias for simpler functions
Collective,Learning algorithm,depends on properties of
Bayes (sub-)optimal classifiers,Collective action,previous research focused on impact against
machine learning models,user-contributed data,trained on
users,machine learning models,alter data to influence outputs of
algorithmic collective action,coordinated group of individuals,studies effect of
algorithmic collective action,machine learning models,can affect
collective,firm,alters data provided to
collective,data altering strategies,uses
Hardt et al. (2023),collective action strategies,initiated formal study of
Hardt et al. (2023),fractional size of the collective,provided theoretical analysis based on
Hardt et al. (2023),properties of the signal,provided theoretical analysis based on
Bayes (sub-)optimal classifiers,practical learning algorithms,do not immediately adapt to peculiarities of
learning algorithms,Distributional robustness,exhibit property of
learning algorithms,Simplicity bias,exhibit property of
Distributional robustness,collective success,leads to different levels of
Simplicity bias,collective success,leads to different levels of
data,multiple sub-populations,composed of
algorithms optimizing for average performance,minority sub-populations,perform poorly in
Distributionally Robust Optimisation (DRO),per-group accuracy,maximizes
Distributionally Robust Optimisation (DRO),standard empirical risk minimization (ERM),compared to
small collective,Distributionally Robust Optimisation (DRO),achieves higher success when training algorithm performs
large collective,Distributionally Robust Optimisation (DRO),achieves lower success when training algorithm performs
