node_1,node_2,edge
Individually Fair Learning,One-Sided Feedback,is studied in the context of
Learner,One-Sided Feedback,operates under
Learner,Randomized Policy,deploys
Randomized Policy,Classification Outcomes,determines
Learner,Accuracy,aims to maximize
Learner,Individually Fair Policies,deploys
Auditing Scheme,Fairness Violations,detects
Auditing Scheme,Panel of Auditors,utilizes feedback from
Panel of Auditors,Inconsistent Auditors,may include
Auditing Scheme,Accuracy-Fairness Frontier,allows exploring
Online Learning with One-Sided Feedback,Contextual Combinatorial Semi-Bandit Problem,is reduced to
Contextual Combinatorial Semi-Bandit Problem,Algorithms for Contextual Combinatorial Semi-Bandits,leverages
Algorithms for Contextual Combinatorial Semi-Bandits,Multi-Criteria No Regret Guarantees,establish
Multi-Criteria No Regret Guarantees,Accuracy,simultaneously for
Multi-Criteria No Regret Guarantees,Fairness,simultaneously for
Prior Work,Hidden Outcomes,contains potential bias from
Prior Work,Human Biases,contains potential bias from
hidden outcomes,algorithm,not available to
human biases,single human auditor,present in
human biases,well-chosen panel,mitigated by
one-sided feedback,high stakes decisions,received when making
one-sided feedback,favorable decision,only observe outcome for
fairness,machine learning,major concern in
one-sided feedback,fairness literature,not accounted for in majority of
sequential decisions,one-sided feedback,made with
one-sided feedback,feedback structure,form of
feedback loops,historical bias,may amplify and disguise
algorithmic fairness,group level,asks for fairness on
statistical measure of error,false positive rate,includes
statistical measure of error,false negative rates,includes
statistical measure of error,raw error rates,includes
partition of data,protected attribute,often along lines of
statistical measure of error,groups,approximately equalized across
group-level guarantees,individuals,promise little to
individual fairness,similar individuals,asks that be treated similarly
individual fairness,Lipschitz constraint,imposed as
Lipschitz constraint,randomized classifier,imposed on
similarity metric,individual fairness,defines similarity for
similarity metric,task-specific,is
human auditor,feedback,elicits in online learning setting
