node_1,node_2,edge
von Mises-Fisher exploration (vMF-exp),large action sets,method for exploring
von Mises-Fisher exploration (vMF-exp),hyperspherical embedding vectors,uses to represent actions
von Mises-Fisher exploration (vMF-exp),state embedding representation,samples using von Mises-Fisher distribution
state embedding representation,nearest neighbors,explores
von Mises-Fisher exploration (vMF-exp),Boltzmann Exploration (B-exp),asymptotically maintains same probability of exploring each action as
Boltzmann Exploration (B-exp),scalability issues,suffers from
von Mises-Fisher exploration (vMF-exp),scalable alternative,serves as
reinforcement learning (RL),exploration,fundamental component of
von Mises-Fisher exploration (vMF-exp),recommender system,deployed on
recommender system,global music streaming service,of
exploration,reinforcement learning (RL) paradigm,is a fundamental component of
exploration,RL agents,allows to gather information about environment
RL agents,optimal actions,identify to maximize rewards
large action sets,exploration process,makes increasingly challenging
large action sets,higher computational costs,leads to
large action sets,longer learning times,leads to
large action sets,inadequate exploration,risk of
large action sets,suboptimal policy development,risk of
recommender system,music streaming service,example of application in
recommender system,playlists of songs,curates
songs,initial selection,inspired by
music streaming services,playlists,generate
nearest neighbor search systems,songs,retrieve
song embedding vector space,songs,represents
collaborative filtering,song embedding vector space,learns
content-based methods,song embedding vector space,learns
recommender system,next song,selects
user feedback,recommended songs,based on
user feedback,rewards,such as
RL approach,playlist generation,alternative to
RL approach,user feedback,learns from
music streaming services,large catalogs,offer access to
agent,possible actions,considers
Boltzmann Exploration,exploration strategies,is one of
