node_1,node_2,edge
Uniform Random Weights,Non-uniform Bias,induces
Over-parameterized Neural Networks,Generalization,generalize well when trained to zero loss
Stochastic Gradient Descent (SGD),Neural Networks,trains
Random Neural Network,Interpolation,interpolates the data
Random Neural Network,Generalization,typically generalizes as well as SGD-trained NNs
Flat Prior,Rich Prior over NN functions,induces
Redundancy in NN structure,Bias towards simpler functions,creates
Narrow Teacher NN,Random NN Interpolator,enables generalization if teacher agrees with labels
Sample Complexity,Complexity of the teacher,approximately proportional to
Teacher NN,Student NN,teacher is narrower than student
Neural Networks (NNs),generalization,exhibit despite being over-parameterized
Neural Networks (NNs),implicit bias,have toward generalizing solutions
implicit bias,model and training method interactions,stems from underlying interactions
implicit bias,mapping from model parameters to model function,partly attributed to
model parameters,model function,mapped to
random sampling of NN parameters,implicit bias,suggested to contribute to
NN parameters,uniform prior,sampled from
posterior,uniform prior,composed of
posterior,0-1 loss function,composed of likelihood of
sampled NNs,SGD,generalize as well as
uniform sampling,NN parameters,induces simple and generalizing functions
typical NN interpolators,narrow NN teacher,generalize well given existence of
NN interpolators,posterior,sampled from
test error,typical NN,small with high probability for
probability that a random NN is equivalent to teacher function,generalization guarantees,upper bound needed for
uniform prior,Gaussian,chosen as
uniform prior,uniform on ℓ2 sphere,chosen as
uniform prior,uniform in ℓ∞ ball,chosen as
