node_1,node_2,edge
best-of-n sampling,reference policy,samples drawn from
best-of-n policy,reference policy,KL divergence between
KL divergence,log(n) - (n-1)/n,"claimed equal to, but actually an upper bound"
best-of-n policy,reference policy,win rate against
win rate,n/(n+1),upper bounded by
best-of-n alignment policy,win rate,tradeoffs between
best-of-n alignment policy,KL divergence,tradeoffs between
reference model,alignment,alignment aims to improve output of reference model
alignment,reward function,alignment improves reward function
test-time compute scaling,reference model,test-time compute scaling nudges outcome without drifting from reference model
alignment,KL-regularized reinforcement learning,KL-regularized reinforcement learning is a method for alignment
alignment,controlled decoding,controlled decoding is a method for alignment
alignment,SLiC,SLiC is a method for alignment
alignment,direct preference optimization,direct preference optimization is a method for alignment
alignment,best-of-n finetuning,best-of-n finetuning is a method for alignment
alignment methods,regularized optimization problem,alignment methods solve a regularized optimization problem
regularized optimization problem,reference model,regularized optimization problem involves reference model πref
regularized optimization problem,reward function,"regularized optimization problem involves reward r(x, y)"
regularized optimization problem,KL divergence,regularized optimization problem includes KL divergence penalty
response y,prompt x,is generated for
KL divergence DKL(q(·|x)∥p(·|x)),response y,is defined using expectation over
KL divergence DKL(q(·|x)∥p(·|x)),log ratio q(y|x)/p(y|x),is computed as expectation of
Equation (1),closed-form solution,has
closed-form solution,π*_β(y|x),defines
π*_β(y|x),πref(y|x),is proportional to
π*_β(y|x),exponential family of distributions,belongs to
KL divergence averaged over prompts Dµ_KL(q∥p),prompt distribution µ,is averaged over
small KL divergence,aligned policy,is desired between
small KL divergence,reference policy,is desired between
small KL divergence,preservation of capabilities,implies
tradeoff curves,expected reward,measure
tradeoff curves,DKL(π∥πref),are a function of
guarantees on KL divergence,preservation of core capabilities,capture
tighter estimates on KL divergence,guarantees,help give
