node_1,node_2,edge
LESS-VFL,Vertical Federated Learning,is a method for
LESS-VFL,feature selection,performs communication-efficient
LESS-VFL,server,involves a
LESS-VFL,parties,involves multiple
parties,local datasets,have
local datasets,sample ID space,share
local datasets,different feature sets,have
parties,train a model,collaborate to
LESS-VFL,pre-training period,uses a short
server,global model,optimizes
global model,relevant outputs,determines
relevant outputs,party models,from
server,parties,shares information with
parties,local feature selection,perform
local feature selection,communication,without
LESS-VFL,spurious features,removes
LESS-VFL,high accuracy,achieves
LESS-VFL,communication cost,reduces
Federated learning,distributed model training,supports
Vertical Federated Learning (VFL),federated learning algorithms,is an important class of
Vertical Federated Learning (VFL),shared sample ID space,works with
Vertical Federated Learning (VFL),different private feature sets,works with
healthcare provider,disease prediction,collaborates to train model for
wearable technology company,disease prediction,collaborates to train model for
insurance company,disease prediction,collaborates to train model for
VFL,local feature extractor models,uses
local feature extractor models,deep neural networks,such as
local feature extractor models,low-dimensional embeddings,produces
extractor models,deep neural networks,type of
extractor models,low-dimensional embeddings,produces
low-dimensional embeddings,local feature sets,derived from
server,embeddings,takes as input
server,fusion model,uses for predictions
feature selection,machine learning tasks,part of
datasets,spurious features,contain
spurious features,prediction task,do not relate to
health care providers,electronic medical records (EMRs),use to train models
electronic medical records (EMRs),clinical documents,contain
electronic medical records (EMRs),irrelevant features,may contain
spurious features,generalization,affects negatively
VFL training,original dataset,uses
VFL training,Gaussian noise features,tested with additional
Gaussian noise features,test accuracy,causes fall in
VFL feature selection algorithms,MMVFL,includes
VFL feature selection algorithms,Fed-EINI,includes
VFL feature selection algorithms,Hou et al. (2022),includes
VFL feature selection algorithms,Zhang et al. (2022b),includes
VFL feature selection algorithms,Zhang et al. (2022a),includes
VFL feature selection algorithms,EVFL,includes
VFL feature selection algorithms,VFLFS,includes
VFL feature selection algorithms,FedSDG-FS,includes
VFL feature selection algorithms,LESS-VFL,includes
LESS-VFL,neural networks,supports
