node_1,node_2,edge
Neural ordinary differential equations (NODEs),time series analysis,used for modeling
KoNODE,Neural ordinary differential equations (NODEs),extends
KoNODE,Koopman operators,employs
KoNODE,ODE parameters,models evolution of
Koopman operators,intrinsic linear dynamics,captures
observed state dynamics,surface-level dynamics,is a type of
parameter dynamics,deep-level information,encodes
Koopman linear dynamics,fundamental driving rules,represents
KoNODE,long-term prediction,enables
KoNODE,generalization to new data,drives
evolving ODE parameters,generalization to new data,drives
simple linear dynamics,long-term prediction,enables
Time-series data,continuous dynamic systems,sampled from
Recurrent Neural Networks (RNNs),discrete-time transition patterns,learns
Long Short-Term Memory networks (LSTMs),discrete-time transition patterns,learns
conventional deep learning approaches,continuous dynamics,does not explicitly model
Ordinary Differential Equations (ODEs),time-series data,provides continuous framework for modeling
Neural ODEs (NODEs),Ordinary Differential Equations (ODEs),is a data-driven alternative to
Neural ODEs (NODEs),neural network,uses as function f
NODEs,neural network,is parameterized by
NODEs,continuous dynamics,learns
HBNODEs,NODEs,is a variant of
MoNODEs,NODEs,is a variant of
ANODEV2,NODEs,extends
ANODEV2,time-evolving parameters,introduces
static parameter θ,NODEs,limits adaptability of
time-evolving parameters,model generalization,enhances
θ(t),state dynamics,drives
θ(t),deep-level information,encodes
modeling evolution of θ(t),generalization ability,enhances
modeling evolution of θ(t),intrinsic dynamics,captures
robotic arms,internal physical properties,has
internal physical properties,frictional torque,includes
