node_1,node_2,edge
GaussMark,structural watermarking,is a scheme for
watermarking,Large Language Models (LLMs),is applied to
GaussMark,Gaussian independence testing,is based on
GaussMark,model weights,embeds watermark into
token-level watermarking,text structure,ignores
GaussMark,generation latency,has no cost in
GaussMark,statistical guarantees,has formal
additive corruptions,LLM weights,can result in models of identical or improved quality
Language Models (LMs),Natural Language Processing,transform the field of
Language Models (LMs),high-quality artificial text,generate
LLMs,benefits,provide
LLMs,risks,pose
LLMs,human-like text,produce
human-like text,academic plagiarism,raises concerns about
human-like text,spread of tailored misinformation,raises concerns about
watermarking LMs,generated text,embeds a signal into
watermarking LMs,provider,allows to determine origin of
model quality,corruption,relatively robust to
watermarking LMs,embedding a signal into generated text,is defined as
watermarking LMs,determine whether a given example was machine-generated,enables
watermarking,easily detectable with formal statistical guarantees,requires property
watermarking,not degrade LM performance in quality or latency,requires property
watermarking,remain detectable after common corruptions,requires property
formal statistical guarantees,situations where authorship claims are sensitive,is important in
unreliable detection,students falsely accused of cheating,leads to
watermarking schemes relying on heuristics or trained detectors,cannot be reliably deployed,result in
Dathathri et al. (2024),efficient and practical watermarking,allows for
Dathathri et al. (2024),maintain high quality text,requires storage
