node_1,node_2,edge
CoLoRA,Continuous Low Rank Adaptation,stands for
CoLoRA,reduced models,introduces
CoLoRA,neural networks,pre-trains
CoLoRA,partial differential equation,pre-trains for
CoLoRA,low-rank weights,adapts
CoLoRA,solution fields,predicts evolution of
physics parameters,solution fields,influence evolution of
initial conditions,solution fields,influence evolution of
adaptation,data-driven,can be
adaptation,equation-driven variational approach,can be
equation-driven variational approach,Galerkin-optimal approximations,provides
CoLoRA,solution fields,approximates locally in time
rank of weights,small,can be kept
CoLoRA,data-scarce regimes,suited for
CoLoRA,classical methods,orders of magnitude faster than
CoLoRA,other neural network approaches,higher accuracy and parameter efficiency than
physics parameters,parameterized partial differential equations (PDEs),are inputs to
parameterized partial differential equations (PDEs),standard numerical methods,solved by
standard numerical methods,reduced modeling,alternative to
reduced models,low-rank approximations,based on
low-rank approximations,principal component analysis,related to
low-rank approximations,exponentially fast error decays,achieve
Kolmogorov barrier,linear low-rank approximations,affects
Kolmogorov barrier,error decay rate,limits to 1/√n
Kolmogorov barrier,PDEs,states that there are classes of PDEs for which linear approximations have an error decay rate of at best 1/√n
Kolmogorov barrier,transport-dominated phenomena,affects PDE classes describing transport-dominated phenomena such as strongly advecting flows and wave-like behavior
CoLoRA,LoRA,builds on LoRA (Low Rank Adaptation) for developing parameterizations for reduced models
LoRA,large language models,has been developed for fine-tuning large language models
CoLoRA,PDE setting,reflects PDE setting by allowing continuous-in-time adaptation of parts of the low-rank components
CoLoRA,solution fields,adapts as solution fields of PDEs evolve
physical phenomena,latent low-dimensional structure,evolve smoothly and along a latent low-dimensional structure
