node_1,node_2,edge
clustering,anisotropic gaussian mixture models,"Clustering is studied under anisotropic Gaussian Mixture Models, where covariance matrices are unknown and can vary, impacting clustering accuracy."
clustering,covariance matrices,The critical influence of covariance structures on clustering accuracy is analyzed in the context of clustering under anisotropic Gaussian Mixture Models.
anisotropic gaussian mixture models,homogeneous scenario,"Two anisotropic scenarios are discussed: homogeneous, with identical covariance matrices across clusters."
anisotropic gaussian mixture models,heterogeneous scenario,"Two anisotropic scenarios are discussed: heterogeneous, with distinct covariance matrices per cluster."
cluster assignment vector,logarithmic number of iterations,The adjusted algorithm for solving the clustering problem not only achieves minimax optimality but also converges within a logarithmic number of iterations.
clustering,gaussian mixture model,Clustering is a fundamental task and the Gaussian Mixture Model is a widely recognized and extensively studied model for clustering.
unknown centers,σ∗,Unknown centers mentioned along with cluster assignment vector Σ∗
cluster assignment vector,z∗,Cluster assignment vector related to specifying which cluster the data point is assigned to
estimator,clustering performance,An estimator's clustering performance is measured by the misclustering error rate
gmms,clustering,Increasing interest in theoretical and algorithmic analysis of clustering under GMMs
gmm,isotropic,"In an isotropic GMM, all covariance matrices are equal to the identity matrix"
mina̸=b ∥θ∗,misclustering error rate,Minimax rate for clustering in isotropic scenario w.r.t. the misclustering error rate
lloyd’s algorithm,clustering,Lloyd’s algorithm is a particularly effective clustering algorithm
lloyd’s algorithm,computational guarantees,"[15, 8] establish computational and statistical guarantees for the Lloyd’s algorithm"
spectral clustering,dimension reduction,Spectral clustering is an umbrella term for clustering after dimension reduction through spectral decomposition
clustering,dimension reduction,Clustering is performed after a dimension reduction through spectral decomposition.
clustering,spectral clustering,Spectral clustering is proven to achieve optimality under the isotropic GMM.
clustering,semidefinite programming (sdp),SDP is also used for clustering by exploiting its low-rank structure.
clustering,sub-gaussian mixture models,Some studies present results for sub-Gaussian mixture models for clustering.
clustering,covariance matrices,The understanding of clustering in an anisotropic context involves covariance matrices that are not constrained to be identity matrices.
sub-gaussian mixture models,errors,Sub-Gaussian mixture models assume errors to follow some sub-Gaussian distributions with the variance proxy σ2.
errors,"n (0, σ2i)","The least favorable scenario for clustering is when errors are distributed as N (0, σ2I)."
sub-gaussian mixture models,isotropic gmm,The minimax rate for clustering under sub-Gaussian mixture model essentially equals the one under the isotropic GMM.
sub-gaussian mixture models,lloyd’s algorithm,"Methods like Lloyd’s algorithm, which require no covariance matrix information, are used for sub-Gaussian mixture models."
isotropic gmm,lloyd’s algorithm,"Lloyd’s algorithm, which require no covariance matrix information, can be rate-optimal for isotropic GMMs."
anisotropic gmms,direction of clustering,Studies have explored the direction of clustering under anisotropic GMMs.
lloyd’s algorithm,polynomial-time clustering algorithm,[3] presents a polynomial-time clustering algorithm.
polynomial-time clustering algorithm,gaussian distributions,The algorithm performs well when Gaussian distributions are well-separated by hyperplanes.
two-cluster scenarios,overlapping gaussians,[11] extends the approach to allow overlapping Gaussians in two-cluster scenarios.
two elliptical distributions,clustering method,[22] proposes a novel method for clustering under a balanced mixture of two elliptical distributions.
clustering method,upper bound on clustering performance,They establish a provable upper bound on their clustering performance.
anisotropic gmms,clustering task,Investigation of clustering task under two anisotropic GMMs is mentioned.
model 1,homogeneous covariance matrices,"In Model 1, all covariance matrices are equal and homogeneous."
