node_1,node_2,edge
Cluster deletion,graph clustering,is an NP-hard objective in
Cluster deletion,computational biology,has applications in
Cluster deletion,social network analysis,has applications in
Cluster deletion,graph,partitions into cliques by deleting edges
approximation algorithms,Cluster deletion,provide approximation guarantees for
linear program,approximation algorithms,is relied upon by one of
combinatorial approach,linear program,is a new scalable alternative to
graph clustering,graph mining,is a fundamental task in
graph clustering,social networks,detects communities in
graph clustering,biological networks,identifies related genes in
graph clustering,image segmentation,finds groups of pixels in
cluster,graph,is a set of nodes in a
idealized cluster,clique,is a completely connected internally
cluster graph modification problems,graph clustering objectives,are a class of
cluster graph modification problems,edges,seek to edit
correlation clustering,cluster editing,is also known as
correlation clustering,disjoint union of cliques,converts a graph into a
correlation clustering,edges,adds or deletes a minimum number of
CLUSTER DELETION,correlation clustering,is a variant of
CLUSTER DELETION,edges to delete,seeks minimum number of
CLUSTER DELETION,disjoint set of cliques,results in graph becoming
CLUSTER DELETION,clustering gene networks,motivated by applications in
CLUSTER DELETION,NP-hard,is
CLUSTER DELETION,parameterized algorithms,studied from perspective of
CLUSTER DELETION,approximation algorithms,studied from perspective of
CLUSTER DELETION,linear programming (LP) relaxation,first approximation algorithm based on
linear programming (LP) relaxation,factor 4-approximation guarantee,provided
CLUSTER DELETION,current-best approximation factor of 2,has
