node_1,node_2,edge
bidding agencies,advertisers,represent and bid on behalf of
bidding agencies,coordinated bidding,employ to help clients achieve higher utilities
coordinated bidding,independent bidding,outperforms in terms of client utility
repeated second-price auctions,budgets,are constrained by
coordinated online bidding algorithms,repeated second-price auctions with budgets,are designed for
coordinated online bidding algorithms,maximal coalition welfare,achieve
bidders,budgets,may misreport
online learning,equilibrium analysis,combined in proofs
multi-dimensional benchmark,coordinated bidding algorithms,competes with
Online advertising,Internet companies,main source of revenue for
Ad query,Auction,triggers
Auction,Advertisers,held among
Winner,Ad,gets opportunity to display
Advertisers,Online decision problem,confronted with
Advertisers,Bids,decide based on historical information
Advertisers,Market agencies,delegate bidding tasks to
Advertisers,Objectives and constraints,report
Advertiser,Total utility,aims to maximize
Advertiser,Budget constraint,subject to
Budget constraint,Total payment,limits
Market agencies,Requests,receive
advertiser,total utility,maximizes
advertiser,budget constraint,subject to
bidding agency,online bidding algorithms,designs
bidding agency,clients,has information of
bidding agency,coordinated bids,coordinates
coordinated bids,client utility,improves
existing online bidding algorithms,one bidder,focus on bidding for
bidder coordination,online settings,remains unanswered in
coordinated online bidding strategy,client advertiser,provides higher utility for
coordinated online bidding strategy,independent bidding,compared to
bidder coordination,repeated second-price auctions,studied in
bidder coordination,budgets,involves
online multi-objective optimization,bidder coordination,models
algorithm,benchmark utility,compares each bidder's utility with
interplay of bidders,dynamic repeated settings,occurs in
auctions,multi-player games,are
bidder's utility,others' bids,influenced by
