node_1,node_2,edge
Retrieval-augmented models,Retriever,composed of
Retrieval-augmented models,Predictor,composed of
Retriever,Relevant information,identifies from a large corpus via a data-dependent metric
Predictor,Input instances,consumes along with retrieved information to make predictions
Retrieval-augmented models,Statistical framework,studied by
Statistical framework,End-to-end training,provides a principled method for
End-to-end training,Retriever,trains
End-to-end training,Predictor,trains
Statistical framework,Excess risk bounds,establishes
Excess risk bounds,Retriever,delineates contribution of
Excess risk bounds,Predictor,delineates contribution of
Retrieval-augmented models,Open domain question answering,validated on
ML models,harder tasks,developed to solve
scaling parametric ML models,neural networks,such as
scaling parametric ML models,high computational cost,has drawback of
scaling parametric ML models,inefficient storage of world knowledge in parameters,has drawback of
scaling parametric ML models,lack of transparency in model behavior,has drawback of
scaling parametric ML models,reduced grounding/factuality of model predictions,has drawback of
retrieval-augmented models (RAMs),scaling parametric ML models,alternative to
retrieval-augmented models (RAMs),retriever,employs component
retrieval-augmented models (RAMs),predictor,employs component
retriever,instance-specific relevant information,identifies
predictor,retrieved information,jointly processes
Retriever,Data-store,identifies instance-specific relevant information from
Predictor,Retrieved information,jointly processes with input instance
RAM,Retriever,employs as component
RAM,Predictor,employs as component
RAM,Standalone ML model,matches or exceeds performance of
Retrieved information,Grounding,exhibits improved
External corpus,Model parameters,obviates need to store task-specific world knowledge in
External corpus,Dynamically evolving knowledge,enables incorporating
Training RAMs,Challenges,presents multiple
Independent training,Retriever and predictor,can be sub-optimal for
Intermediate supervision,Instance-dependent relevant information,required for collecting
End-to-end training,Lack of intermediate supervision,circumvents
