node_1,node_2,edge
Looped Transformer,Graph Algorithms,simulates
Looped Transformer,Extra Attention Heads,uses
Extra Attention Heads,Graph,interact with
Dijkstra’s Shortest Path,Graph Algorithms,is a type of
Breadth-First Search,Graph Algorithms,is a type of
Depth-First Search,Graph Algorithms,is a type of
Kosaraju’s Strongly Connected Components,Graph Algorithms,is a type of
Looped Transformer,Multiple Algorithms,simulates simultaneously
Number of Parameters,Input Graph Size,does not increase with
Simulation,Finite Precision,limited by
Looped Transformer,Turing Completeness,achieves with constant width
Turing Completeness,Extra Attention Heads,utilizes
Transformers,natural language processing,used in
neural networks,algorithmic reasoning,capable of
algorithmic reasoning,basic arithmetic,includes
algorithmic reasoning,sorting,includes
algorithmic reasoning,dynamic programming,includes
algorithmic reasoning,graph algorithms,includes
this work,algorithmic reasoning on graphs,focuses on
algorithmic reasoning on graphs,scale generalization,displays
predominant approach,neural network,trains
neural network,step of a target algorithm,executes
looping mechanism,entire algorithm,executes
looping mechanism,execution of long processes,allows
looping mechanism,execution of long processes on graphs,enables
looped neural networks,simulate algorithms on graphs of varying sizes,studied for ability to
simulation,neural network,ability to provide correct output of a step of an algorithm for every step
looped transformer architecture,extra attention heads,utilizes
extra attention heads,graph,interact with
graph,adjacency matrix,encoded using
adjacency matrix,attention head,multiplies
adjacency matrix,access data without scaling parameters,allows
looped transformer architecture,Breadth-first search (BFS),can simulate
looped transformer architecture,Depth-first search (DFS),can simulate
looped transformer architecture,Dijkstra’s shortest path algorithm,can simulate
looped transformer architecture,Kosaraju’s algorithm for strongly connected components (SCC),can simulate
"BFS, DFS, Dijkstra’s algorithm",multitask model,simulated simultaneously by
