node_1,node_2,edge
Orthogonality-Enforced Latent Space in Autoencoders,disentangled representations,aims to learn
autoencoders,latent space,contains
disentangled representations,factorizing latent space,equivalent to
proposed model,non-probabilistic disentangling framework,is a
proposed model,symmetry transformations,based on principles of
proposed model,Euler encoding,uses
proposed model,reconstruction loss,uses only
proposed model,deterministic model,is a
proposed model,state-of-the-art models,compared with
disentanglement metrics,proposed model,evaluates
unsupervised disentanglement metric,proposed model,proposed in the paper for
proposed model,linear disentangled representation learning,opens opportunities for
data,modern machine learning,is a fundamental aspect of
better representations,generalization,key to achieving
better representations,interpretability,key to achieving
better representations,robustness,key to achieving
learned representation,factorizability,has characteristic of
learned representation,disentanglement,has characteristic of
latent representation,independent generative factors,composed of
disentanglement,latent space features,renders independent
disentanglement,scene rendering,provides basis for
disentanglement,interpretability,provides basis for
disentanglement,unsupervised deep learning,provides basis for
deep generative models,variational autoencoders (VAEs),build on
variational autoencoders (VAEs),learning factored representations,effective in
VAE-based models,disentangled representation learning,used for
VAE-based models,loss components,consist of
loss components,balancing issue,has
VAE-based models,known prior distribution,requires
known prior distribution,impractical in real settings,is
factorizing aggregated posterior,uncorrelated representations,does not guarantee
alternative approach,disentangled representations,achieves
alternative approach,irreducible representations of symmetry groups,seeks
irreducible representations of symmetry groups,group theory,based on
irreducible representations of symmetry groups,latent space transformations,finds
latent space transformations,independent of one another,are
group of methods,transitions between samples,exploits
transitions between samples,pairs of images,requires
transitions between samples,equivalent labels,requires
