node_1,node_2,edge
keypoint detection,computer vision,is a fundamental task in
Morse theory,persistent homology,are powerful tools rooted in algebraic topology
MorseDet,feature detection,is a topology-based learning model for
persistent homology,subgradient,introduces a notion of subgradient
keypoint detection,scale dependency,suffers from
MorseDet,keypoint repeatability,achieves competitive performance in
Structure-from-Motion,"Schönberger & Frahm, 2016",cited as related work
Structure-from-Motion,"Heinly et al., 2015",cited as related work
Structure-from-Motion,"Schönberger et al., 2016",cited as related work
Retrieval and place recognition,"Barbarani et al., 2023",cited as related work
Retrieval and place recognition,"Noh et al., 2017",cited as related work
Traditional pipelines,hand-crafted filters,relied on
hand-crafted filters,salient points,engineered to detect
salient points,corners,includes
corners,"Harris & Stephens, 1988",cited as method
salient points,blobs,includes
blobs,"Tuytelaars & Van Gool, 2000",cited as method
blobs,"Lowe, 2004",cited as method
blobs,"Mikolajczyk & Schmid, 2004",cited as method
salient points,edges,includes
edges,"Bhardwaj & Mittal, 2012",cited as method
keypoints,feature vector,associated with
feature vector,local derivatives of the image,obtained from
local derivatives of the image,"Calonder et al., 2010",cited as method
local derivatives of the image,"Bay et al., 2006",cited as method
local derivatives of the image,"Lowe, 2004",cited as method
good feature detector,high repeatability,should provide
good feature detector,scale-invariance,should provide
good feature detector,robust to noise and distortion,should be
high repeatability,consistent across image pairs,defined as
Scale-Space theory,"Lindeberg, 1994",provided by
Scale-Space theory,concept of keypoint,provides formulation of
concept of keypoint,desirable properties,guarantees
keypoint,scale-space feature pyramid,detected as local extrema in
keypoint,SIFT,popular classical handcrafted detector of
keypoint,learning-based detectors,recently introduced alternative to classical detectors of
learning-based detectors,data-driven approach,rely on
learning-based detectors,neural network,teach how to select salient points
keypoint,DISK,defined as locations easily matched in
keypoint,R2D2,defined as more discriminative locations in
keypoint,local maxima,defined as for repeatability
keypoint formulation,inherent flaws,presents
inherent flaws,critical points of feature maps,does not guarantee keypoints are
inherent flaws,hard-coded density hyperparameter,leads to keypoints with
inherent flaws,scale-dependent keypoints,makes keypoints inherently
